atu,short_title
1,Playing Dead
2,The Tail-Fisher
15,The Fox Steals the Butter
47A,Catching a Horse by Its Tail
47E,"The Fox, the Wolf, and the Horse"
50,Curing a Sick Lion
57,The Fox and the Crow
63,The Fox (or Jackal) and the Fleas
66A,"Hello, House!"
68A,Greed
75A,The Nurse and the Wolf
91,The Monkey's Heart
92,The Lion in the Water
101,Old Dogs Learn New Tricks
103,War between Wild Animals and Domestic Animals
104,The War between the Village Animals and the Forest Animals
105,The Fox and the Cat or The Fox and the Hedgehog
112,Town Mouse and Country Mouse
122E,Three Billy Goats Gruff
122F,Eat Me When I'm Fatter
124,Three Little Pigs
130,The Bremen Town Musicians
150,The Bird's Three Precepts
154,The Jackal and the Farmer
155,Ingratitude Is the World's Reward
156,Androcles and the Lion
160,The Grateful Animals and the Ungrateful Man
170A,Trading Up (1)
173,Stages of Life
175,The Tar-Baby
178A,Llewellyn and His Dog Gellert
207C,The Bell of Justice
214A,Singing Thieves
225,The Tortoise That Wanted to Fly
231,"The Crane, the Crab, and the Fish"
237,The Parrot That Talked Too Much
243A,Hear No Evil See No Evil Speak No Evil
244,Peacock Plumes
247,Every Mother Thinks Her Child Is the Most Beautiful
278,The Scorpion and the Tortoise
278A,The Two Frogs
280A,The Ant and the Grasshopper
285B,The Person Who Swallowed a Snake (or Similar Dangerous Creature)
285D,Man and Serpent
295,"Straw, Coal, and Bean"
298,Wind and Sun
306,The Shoes That Were Danced to Pieces
310,Rapunzel
311,How the Devil Married Three Sisters
312,Bluebeard
325A,The Sorcerer's Apprentice
326,Fear
327,Hansel and Gretel
328J,Jack and the Beanstalk
332,Godfather Death
333,Little Red Riding Hood
333A,Cattarinetta
335,Death's Messengers
361,Bearskin
365,Specter Bridegrooms
366,A Corpse Claims Its Property
402,Animal Brides
410,Sleeping Beauty
425C,Beauty and the Beast
451,The Brothers Who Were Turned into Birds
480,Frau Holle and Other Tales of Type 480
500,The Name of the Helper
501,The Three Spinning Women
502,The Wild Man As Helper
503,Fairy Gifts
505,The Grateful Dead
510A,Cinderella
510B,The Father Who Wanted to Marry His Daughter
545B,Puss in Boots
555,The Fisherman and His Wife
562,The Blue Light
563,Three Magic Gifts
565,Why the Sea Is Salty
570,The Rabbit Herd
571B,The Himphamp
592,Dancing in Thorns
613,The Two Travelers: Truth and Falsehood
650A,The Strong Boy
670,The Language of Animals
675,The Fool Whose Wishes All Came True
676,Open Sesame!
700,Tom Thumb
703,The Snow Maiden
704,The Princess on the Pea
706,The Girl without Hands
709,Snow-White
720,Mother Killed Me Father Ate Me
726,"Old, Older, and Oldest"
737,Divination
750A,Foolish Wishes
756,Forgiveness and Redemption
763,Treasure Finders Murder One Another
777,The Wandering Jew
777A,The Flying Dutchman
779,The Hand from the Grave
780,The Singing Bone
782,Midas
800,The Tailor in Heaven
845,Death and the Old Man
850,The Birthmarks of the Princess
875A,The Women of Weinsberg
888,The Faithful Wife
898,The Daughter of the Sun
900,Taming a Shrewish Wife: The Proud Princess
901,Taming of the Shrew: The Disobedient Wife
910B,Advice Well Taken
920E,The Three-Ring Parable
926,Child Custody
955,The Robber Bridegroom
980,Old Grandfathers and Their Grandsons
980D,Old Parents and Their Ungrateful Children
981,Killing of Old People
982,Ungrateful Heirs
990,Revived from Apparent Death by a Grave-Robber
1030,Crop Division between Man and Ogre
1066,The Hanging Game
1137F,Self Did It
1157,The Devil (or Ogre) and the Gun
1161,The Bear Trainer and His Cat
1174,Deceiving the Devil with a Rope of Sand
1175,Straightening a Curly Hair
1176,Deceiving the Devil by Breaking Wind
1191,The Devil's Bridge
1215,"The Man, the Boy, and the Donkey"
1287,Fools Cannot Count Themselves
1288A,A Fool Does Not Count the Animal He Is Riding
1317,The Blind Men and the Elephant
1319,The Fool and the Mare's Egg
1335A,The Moon in the Well
1342,Hot and Cold with the Same Breath
1351,The Silence Wager
1353,An Old Woman as the Devil's Helper
1362,The Snow Child
1365A,The Contrary Wife
1375,Wives Rule Over Their Husbands
1377,An Adulterous Wife Locks Her Husband Out of Doors
1381,The Wife Who Could Not Keep a Secret
1381D,"Of Women, Who Not Only Betray Secrets, but Lie Fearfully"
1383,The Woman Who Did Not Know Herself
1415,Trading Away One's Fortune
1422,The Parrot and the Adulterous Woman
1423,The Enchanted Pear Tree
1430,Air Castles
1451,Bride Tests
1540,A Visitor from Paradise
1558,Clothes Make the Man
1562A,The Master Who Gave Strange Names to Things in His House
1586,The Foolish Friend
1592,The Iron-Eating Mice
1592B,The Pot That Died
1620,The Emperor's New Clothes
1626,Dream Bread
1641,Doctor Know-All
1641C,"Twigmuntus, Cowbelliantus, Perchnosius"
1645,The Man Who Became Rich through a Dream
1645B,Dream Treasure Turns to Filth
1655,Trading Up (2)
1675,The Education of an Ox
1676,Real Ghosts and Fake Ghosts
1678,The Boy Who Had Never Seen a Woman
1696,What Should I Have Said (or Done)?
1730,The Entrapped Suitors
1741,Trickster Wives and Maids
1791,Dividing Souls in the Graveyard
1889B,Tall Tale: Turning an Animal Inside Out
1889F,Tall Tales: Frozen Sounds
1965,Lying Tales
1967,Tall Tales: The Big Freeze
2022,Mourning the Death of a Spouse
2025,The Runaway Pancake
2030,The Old Woman and Her Pig
