title,atu,culture,author,source_page,sources,n_sources
The Aet-kanda Lēniyā,,,,,ceylon_harvested,1
The Affectionate Prince,,,,,ceylon_harvested,1
The Ant Story,,,,,ceylon_harvested,1
The Ascetic and the Jackal,,,,,ceylon_harvested,1
The Ash-Pumpkin Fruit Prince,,,,,ceylon_harvested,1
The Assistance which the Snake gave,,,,,ceylon_harvested,1
The Black Storks’ Girl,,,,,ceylon_harvested,1
The Boy who went to learn the Sciences,,,,,ceylon_harvested,1
The Cat who guarded the Precepts,,,,,ceylon_harvested,1
The Cobra and the Polan̆gā,,,,,ceylon_harvested,1
Concerning a Bear and the Queen,,,,,ceylon_harvested,1
Concerning a Horse,,,,,ceylon_harvested,1
Concerning a Man and Two Yakās,,,,,ceylon_harvested,1
Concerning a Monk and a Yakā,,,,,ceylon_harvested,1
Concerning a Prince and a Kinnara Woman,,,,,ceylon_harvested,1
Concerning a Royal Prince and a Princess,,,,,ceylon_harvested,1
Concerning a Royal Princess and a Turtle,,,,,ceylon_harvested,1
Concerning a Royal Princess and Two Thieves,,,,,ceylon_harvested,1
Concerning a Vaeddā and a Bride,,,,,ceylon_harvested,1
Concerning Four Friends,,,,,ceylon_harvested,1
Concerning the Blind-Eyed Man,,,,,ceylon_harvested,1
Concerning the Crows and the Owls,,,,,ceylon_harvested,1
Concerning the Friendship of the Hare and the Parrot,,,,,ceylon_harvested,1
Concerning the Golden Peacock,,,,,ceylon_harvested,1
Concerning the Heṭṭi Man’s Son,,,,,ceylon_harvested,1
Concerning the Prince and the Princess who was Sold,,,,,ceylon_harvested,1
Concerning the Prince with his Life in his Sword,,,,,ceylon_harvested,1
Concerning Two Friends,,,,,ceylon_harvested,1
The Crab and the Frog,,,,,ceylon_harvested,1
The Crocodile and the Jackal,,,,,ceylon_harvested,1
The Crocodile’s Wedding,,,,,ceylon_harvested,1
The Crow and the Darter,,,,,ceylon_harvested,1
The Decoction of Eight Nelli Fruits,,,,,ceylon_harvested,1
The Deer and its Friends,,,,,ceylon_harvested,1
The Destiny Prince,,,,,ceylon_harvested,1
The Elephant-Fool,,,,,ceylon_harvested,1
The Elephant Guard,,,,,ceylon_harvested,1
The Faithless Princess,,,,,ceylon_harvested,1
The False Tale,,,,,ceylon_harvested,1
The Female Fowl Thief,,,,,ceylon_harvested,1
The Female Lark,,,,,ceylon_harvested,1
The Female Quail,,,,,ceylon_harvested,1
The Five Lies quite like Truth,,,,,ceylon_harvested,1
The Foolish Bird,,,,,ceylon_harvested,1
The Foolish Man,,,,,ceylon_harvested,1
The Foolish Prince,,,,,ceylon_harvested,1
The Foolish Youth,,,,,ceylon_harvested,1
The Fortunate Boy,,,,,ceylon_harvested,1
The Four Deaf Persons,,,,,ceylon_harvested,1
The Four-faced King and the Turtle,,,,,ceylon_harvested,1
The Four Rākshasas,,,,,ceylon_harvested,1
The Four Tom-tom Beaters,,,,,ceylon_harvested,1
The Frightened Yakā,,,,,ceylon_harvested,1
The Frog in the Queen’s Nose,,,,,ceylon_harvested,1
The Frog Jacket,,,,,ceylon_harvested,1
The Frog Prince,,,,,ceylon_harvested,1
The Gamarāla and the Cock,,,,,ceylon_harvested,1
The Gamarāla and the Washerman,,,,,ceylon_harvested,1
The Gamarāla’s Cakes,,,,,ceylon_harvested,1
The Gamarāla’s Daughter,,,,,ceylon_harvested,1
