atu,topic,title,culture,author,origin_raw,source_page
451,The Brothers Who Were Turned into Birds,The Little Sister: The Story of Suyettar and the Nine Brothers,Finland,,Finland,type0451.html
592,Dancing in Thorns,The Gifts of the Magician,Finland,,Finland,type0592.html
105,The Fox and the Cat or The Fox and the Hedgehog,The Bear as Judge,Finland,,Finland,type0105.html
706,The Girl without Hands,The Girl without Hands,Finland,Wuokkiniemi,Finland (Wuokkiniemi),type0706.html
155,Ingratitude Is the World's Reward,The Reward of Kindness,Finland,,Finland,type0155.html
545B,Puss in Boots,Mighty Mikko,Finland,,Finland,type0545b.html
700,Tom Thumb,Little Lasse,Finland,,Finland,type0700.html
1365A,The Contrary Wife,"Mary, Mary, So Contrary [The Pig-Headed Wife]",Finland,,Finland,type1365abc.html
311,How the Devil Married Three Sisters,The Three Chests: The Story of the Wicked Old Man of the Sea,Finland,,Finland,type0311.html
130,The Bremen Town Musicians,The Animals and the Devil,Finland,,Finland,type0130.html
