title,atu,culture,author,source_page,sources,n_sources
Angionini the Magician,,France,,hameln.html,catalogue_french_ashliman,1
Astrological Portents,7080,Italy / Spain / France,,type7080.html,catalogue_french_ashliman,1
Babiole,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Beauty and the Beast,,French,Villeneuve/de Beaumont,,french_wikipedia,1
The Bee and the Orange Tree,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Belle Belle,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Benedict,650A,France,Lorraine,type0650a.html,catalogue_french_ashliman,1
The beneficent Frog,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Biancabella,706,"Giovanni Francesco Straparola, The Facetious Nights",,type0706.html,catalogue_french_ashliman,1
Blond Beauty,310,France,,type0310.html,catalogue_french_ashliman,1
The Blue Bird,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Bluebeard,,French,Charles Perrault,,french_wikipedia,1
Bluebeard: A Legend from Auvergne (Cantal),312,France,,type0312.html,catalogue_french_ashliman,1
The Burning of the Jews in Strasbourg,7080,Germany / France,,type7080.html,catalogue_french_ashliman,1
The Child of Snow,1362,"France, Les cent nouvelles nouvelles",,type1362.html,catalogue_french_ashliman,1
Cinderella,,French,Charles Perrault,,french_wikipedia,1
"Cinderella; or, The Little Glass Slipper",510A,France,Charles Perrault,type0510a.html,catalogue_french_ashliman,1
Contes populaires de Basse-Bretagne (vol. 1-3),,French (Breton),Luzel,,french_wikipedia,1
Contes populaires de la Gascogne (3 vols),,French (Gascony),Bladé,,french_wikipedia,1
Contes populaires de la Haute-Bretagne (vol. 1-3),,French (Breton),Sébillot,,french_wikipedia,1
Contes populaires de Lorraine (84 tales),,French (Lorraine),Cosquin,,french_wikipedia,1
Costantino and His Cat,545B,Fiovanni Francesco Straparola,,type0545blit.html,catalogue_french_ashliman,1
The Dairywoman and the Pot of Milk,1430,"France, Jean de La Fontaine",,type1430.html,catalogue_french_ashliman,1
The Devil's Bridge,1191,Switzerland/France,,type1191.html,catalogue_french_ashliman,1
The Dirty Shepherdess,,France,,salt.html,catalogue_french_ashliman,1
The Divided Horse-Blanket,980,France,,type0980.html,catalogue_french_ashliman,1
Donkey Skin,,French,Charles Perrault,,french_wikipedia,1
Doralice,510B,"Italy, Giovanni Francesco Straparola",,type0510b.html,catalogue_french_ashliman,1
The Dumb Little Animals,2033,Alsace,Germany / France,type2033.html,catalogue_french_ashliman,1
Emperor Napoleon Is Still Alive,,France,,sleep.html,catalogue_french_ashliman,1
The Fair with Golden Hair,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
The Fairies,480,"France, Charles Perrault",Charles Perrault,type0480.html,catalogue_french_ashliman|french_wikipedia,2
The Fairies and the Two Hunchbacks: A Story of Picardy,503,France,,type0503.html,catalogue_french_ashliman,1
The Farmer and the Devil on Island of the Popefigs,1030,"France, François Rabelais",,type1030.html,catalogue_french_ashliman,1
Finette Cendron,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Fortunée,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Fortunio,1586,"Italy, Giovanni Francesco Straparola",,type1586.html,catalogue_french_ashliman,1
Frederigo da Pozzuolo Is Pressed by His Wife to Tell a Secret,670,Giovanni Francesco Straparola,,type0670.html,catalogue_french_ashliman,1
The Godson of Death,332,France,,type0332.html,catalogue_french_ashliman,1
The Golden Branch,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
The good little Mouse,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Gracieuse and Percinet,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
The Grandmother,333,France,,type0333.html,catalogue_french_ashliman,1
Green-Serpent,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Guerrino and the Savage Man,502,"Italy, Giovanni Francesco Straparola",,type0502.html,catalogue_french_ashliman,1
The Hand of Glory,,"France, Germany, and Spain",,hand.html,catalogue_french_ashliman,1
The Hind in the Wood,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Hoderich and Hanfrat,1645,France,,type1645.html,catalogue_french_ashliman,1
The Ill-Natured Lady,901,France / England,,type0901.html,catalogue_french_ashliman,1
The Innkeeper and the Magpie,237,Germany / France,,type0237.html,catalogue_french_ashliman,1
Jean de l'Ours,,French (Lorraine),Cosquin,,french_wikipedia,1
Jean des Pois Verts,700,France,,type0700.html,catalogue_french_ashliman,1
John Bit-of-a-Man,700,France,,type0700.html,catalogue_french_ashliman,1
The Just Man,332,France,Lower Brittany,type0332.html,catalogue_french_ashliman,1
King Pig,,"Italy, Giovanni Francesco Straparola",,hog.html,catalogue_french_ashliman,1
La Biche Blanche,,French (Lorraine),Cosquin,,french_wikipedia,1
La Fille qui se maria à un Mort,,French (Breton),Luzel,,french_wikipedia,1
La Housse Partie [The Divided Horse-Blanket],980,France,,type0980.html,catalogue_french_ashliman,1
Le Corps-sans-Ame,,French (Breton),Luzel,,french_wikipedia,1
Le Folk-lore de France (6 vols),,French,Sébillot,,french_wikipedia,1
Le Petit Poucet,,French,Charles Perrault,,french_wikipedia,1
Le Poirier d'Or,,French (Lorraine),Cosquin,,french_wikipedia,1
Legend of Melusina,,France,,melusina.html,catalogue_french_ashliman,1
Les Souhaits ridicules,,French,Charles Perrault,,french_wikipedia,1
Les Trois Poils de la Barbe du Diable,,French (Lorraine),Cosquin,,french_wikipedia,1
Little Blue Riding Hood,700,France,,type0700.html,catalogue_french_ashliman,1
Little Red Riding Hood,,French,Charles Perrault,,french_wikipedia,1
Little Thumb,700,France,,type0700.html,catalogue_french_ashliman,1
The Magic Violin,592,France,,type0592.html,catalogue_french_ashliman,1
The Man Hitched to a Plow,888,France / Germany,,type0888.html,catalogue_french_ashliman,1
The Most Powerful Husband in the World,2031C,French North Africa,,type2031c.html,catalogue_french_ashliman,1
N'oun-Doaré,,French (Breton),Luzel,,french_wikipedia,1
Of the Woman Who Stole Her Husband's Eel,237,France,,type0237.html,catalogue_french_ashliman,1
Parsillette,310,France,,type0310.html,catalogue_french_ashliman,1
The People of Sainte-Dode,1319,France,,type1319.html,catalogue_french_ashliman,1
Persinette,310,France,,type0310.html,catalogue_french_ashliman,1
Peter the Fool,675,Giovanni Francesco Straparola,,type0675.html,catalogue_french_ashliman,1
Phœbus and Boreas,298,"Jean de La Fontaine Old Boreas and the sun, one day Espied a traveller on his way, Whose dress did happily provide Against whatever might betide. The time was autumn, when, indeed, All prudent travellers take heed. The rains that then the sunshine dash, And Iris with her splendid sash, Warn one who does not like to soak To wear abroad a good thick cloak. Our man was therefore well bedight With double mantle, strong and tight. ""This fellow,"" said the wind, ""has meant To guard from every ill event; But little does he wot that I Can blow him such a blast That, not a button fast, His cloak shall cleave the sky. Come, here's a pleasant game, Sir Sun! Wilt play?"" Said Phœbus, ""Done! We'll bet between us here Which first will take the gear From off this cavalier. Begin, and shut away The brightness of my ray."" ""Enough."" Our blower, on the bet, Swell'd out his pursy form With all the stuff for storm -- The thunder, hail, and drenching wet, And all the fury he could muster; Then, with a very demon's bluster, He whistled, whirl'd, and splash'd, And down the torrents dash'd, Full many a roof uptearing He never did before, Full many a vessel bearing To wreck upon the shore, -- And all to doff a single cloak. But vain the furious stroke; The traveller was stout, And kept the tempest out, Defied the hurricane, Defied the pelting rain ; And as the fiercer roar'd the blast, His cloak the tighter held he fast. The sun broke out, to win the bet; He caused the clouds to disappear, Befresh'd and warm'd the cavalier, And through his mantle made him sweat, Till off it came, of course, In less than half an hour; And yet the sun saved half his power. -- So much doth mildness more than force. Source: Jean de La Fontaine, The Fables of La Fontaine, translated from the French by Elizur Wright (London: George Bell and Sons, 1888), book 6, fable 3, pp. 123-24. Link to the original French: ""Phébus et Borée,"" Œuvres complètes de Jean de La Fontaine (Paris: Firmin Didot Frères, 1840), livre 6, fable 3, p. 52-53. Return to the table of contents. The Wind and the Sun India",,type0298.html,catalogue_french_ashliman,1
The Pigeon and the Dove,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Prince Chéri,,French,Madame de Beaumont,,french_wikipedia,1
Prince Désir,,French,Madame de Beaumont,,french_wikipedia,1
Prince Sprite,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Princess Belle-Etoile and Prince Cheri,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
The Princess Carpillon,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
The Princess of England,900,France,,type0900.html,catalogue_french_ashliman,1
Princess Printaniere,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Princess Rosette,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Puss in Boots,,French,Charles Perrault,,french_wikipedia,1
The Ram,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
Riquet à la houppe,,French,Charles Perrault,,french_wikipedia,1
Shortboot and His Flute,592,France,,type0592.html,catalogue_french_ashliman,1
The Singing Bones,780,French Louisiana,,type0780.html,catalogue_french_ashliman,1
Sleeping Beauty,,French,Charles Perrault,,french_wikipedia,1
The Son of the King of France,900,France,,type0900.html,catalogue_french_ashliman,1
The Sprite,7015,France,,type7015.html,catalogue_french_ashliman,1
The Three Gifts,592,France,,type0592.html,catalogue_french_ashliman,1
The Three Roosters,243A,Germany/France,,type0243a.html,catalogue_french_ashliman,1
The Twelve Dancing Princesses,306,France,,type0306.html,catalogue_french_ashliman,1
Unfrozen Words,1889F,France,,type1889f.html,catalogue_french_ashliman,1
The Vole Who Sought a Wife,2031C,Marie de France,,type2031c.html,catalogue_french_ashliman,1
The White Cat,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
The Yellow Dwarf,,French,d'Aulnoy (Planché trans.),,french_wikisource,1
