atu,topic,title,culture,author,origin_raw,source_page
1430,Air Castles,The Dairywoman and the Pot of Milk,"France, Jean de La Fontaine",,"France, Jean de La Fontaine",type1430.html
312,Bluebeard,Bluebeard: A Legend from Auvergne (Cantal),France,,France,type0312.html
2031C,The Mouse Who Was to Marry the Sun,The Most Powerful Husband in the World,French North Africa,,French North Africa,type2031c.html
2031C,The Mouse Who Was to Marry the Sun,The Vole Who Sought a Wife,Marie de France,,Marie de France,type2031c.html
2033,The End of the World,The Dumb Little Animals,Alsace,Germany / France,Alsace (Germany / France),type2033.html
1030,Crop Division between Man and Ogre,The Farmer and the Devil on Island of the Popefigs,"France, François Rabelais",,"France, François Rabelais",type1030.html
592,Dancing in Thorns,The Three Gifts,France,,France,type0592.html
592,Dancing in Thorns,Shortboot and His Flute,France,,France,type0592.html
592,Dancing in Thorns,The Magic Violin,France,,France,type0592.html
1191,The Devil's Bridge,The Devil's Bridge,Switzerland/France,,Switzerland/France,type1191.html
1645,The Man Who Became Rich through a Dream,Hoderich and Hanfrat,France,,France,type1645.html
503,Fairy Gifts,The Fairies and the Two Hunchbacks: A Story of Picardy,France,,France,type0503.html
888,The Faithful Wife,The Man Hitched to a Plow,France / Germany,,France / Germany,type0888.html
510B,The Father Who Wanted to Marry His Daughter,Doralice,"Italy, Giovanni Francesco Straparola",,"Italy, Giovanni Francesco Straparola",type0510b.html
1586,The Foolish Friend,Fortunio,"Italy, Giovanni Francesco Straparola",,"Italy, Giovanni Francesco Straparola",type1586.html
675,The Fool Whose Wishes All Came True,Peter the Fool,Giovanni Francesco Straparola,,Giovanni Francesco Straparola,type0675.html
1319,The Fool and the Mare's Egg,The People of Sainte-Dode,France,,France,type1319.html
480,Frau Holle and Other Tales of Type 480,The Fairies,"France, Charles Perrault",,"France, Charles Perrault",type0480.html
706,The Girl without Hands,Biancabella,"Giovanni Francesco Straparola, The Facetious Nights",,"Giovanni Francesco Straparola, The Facetious Nights",type0706.html
332,Godfather Death,The Just Man,France,Lower Brittany,France (Lower Brittany),type0332.html
332,Godfather Death,The Godson of Death,France,,France,type0332.html
,The Hand of Glory,The Hand of Glory,"France, Germany, and Spain",,"France, Germany, and Spain",hand.html
670,The Language of Animals,Frederigo da Pozzuolo Is Pressed by His Wife to Tell a Secret,Giovanni Francesco Straparola,,Giovanni Francesco Straparola,type0670.html
,"Melusina (Melusine, Mélusine)",Legend of Melusina,France,,France,melusina.html
780,The Singing Bone,The Singing Bones,French Louisiana,,French Louisiana,type0780.html
980,Old Grandfathers and Their Grandsons,La Housse Partie [The Divided Horse-Blanket],France,,France,type0980.html
980,Old Grandfathers and Their Grandsons,The Divided Horse-Blanket,France,,France,type0980.html
237,The Parrot That Talked Too Much,Of the Woman Who Stole Her Husband's Eel,France,,France,type0237.html
237,The Parrot That Talked Too Much,The Innkeeper and the Magpie,Germany / France,,Germany / France,type0237.html
