atu,topic,title,culture,author,origin_raw,source_page
3000,The Black School,The Black School,Iceland,,Iceland,type3000.html
,Scandinavian Changeling Legends,The Father of Eighteen in Elvenhome,Iceland,,Iceland,scanchange.html
,Scandinavian Changeling Legends,Elf-Women Steal Human Children,Iceland,,Iceland,scanchange.html
,Scandinavian Changeling Legends,The Baby Cradle at Minni-Thverá,Iceland,,Iceland,scanchange.html
366,A Corpse Claims Its Property,White Cap,Iceland,,Iceland,type0366.html
,The Origin of Underground People,Origin of the Elves,Iceland,,Iceland,originunder.html
,The Origin of Underground People,The Genesis of the Hid-Folk,Iceland,,Iceland,originunder.html
326,Fear,The Boy Who Did Not Know What Fear Was,Iceland,,Iceland,type0326.html
1586,The Foolish Friend,The Tale of a Butter Tub,Iceland,,Iceland,type1586.html
4025,Haunted by the Ghost of a Murdered Child,"Mother Mine, in the Fold, Fold",Iceland,,Iceland,type4025.html
4025,Haunted by the Ghost of a Murdered Child,I Should Have Gotten Married,Iceland,,Iceland,type4025.html
,Master Builders and Their Supernatural Helpers,Loki and the Master Builder,From The Prose Edda of Snorri Sturluson,Iceland,From The Prose Edda of Snorri Sturluson (Iceland),mbuilder.html
,Master Builders and Their Supernatural Helpers,Who Built the Reynir Church?,Iceland,,Iceland,mbuilder.html
4080,The Mermaid Wife,The Sealskin,Iceland,,Iceland,type4080.html
780,The Singing Bone,Murder Will Out,Iceland,,Iceland,type0780.html
981,Killing of Old People,Gillings Bluff,Iceland,,Iceland,type0981.html
,The Pied Piper of Hameln,Mice in Akureyar,Iceland,,Iceland,hameln.html
7080,Plague Legends,The Black Death in Iceland,Iceland,,Iceland,type7080.html
565,Why the Sea Is Salty,Frodi's Mill,Iceland,,Iceland,type0565.html
306,The Shoes That Were Danced to Pieces,"Hildur, the Queen of the Elves",Iceland,,Iceland,type0306.html
325A,The Sorcerer's Apprentice,The Magic Whistle,Iceland,,Iceland,type0325ast.html
365,Specter Bridegrooms,The Deacon of Myrká,Iceland,,Iceland,type0365.html
1558,Clothes Make the Man,Heroes They Seemed When Once They Were Clothed,Iceland,,Iceland,type1558.html
