title,atu,culture,author,source_page,sources,n_sources
(1)—The River Snake.,,,,,indian_harvested,1
(10)—The Origin of Sabai Grass (Ischaemum Angustifolium).,,,,,indian_harvested,1
(11)—The Faithless Sister.,,,,,indian_harvested,1
(12)—The Cruel Sisters-in-Law.,,,,,indian_harvested,1
(13)—The False Rānī.,,,,,indian_harvested,1
(14)—The Jackal and the Kite.,,,,,indian_harvested,1
(15)—The Sons of the Raban Rājā.,,,,,indian_harvested,1
(16)—The Potter’s Son.,,,,,indian_harvested,1
(17)—The Wonderful Cowherd.,,,,,indian_harvested,1
(18)—The Strong Prince.,,,,,indian_harvested,1
(19)—The Prince Who Became King of the Jackals.,,,,,indian_harvested,1
(2)—The Sons of the Tigress.,,,,,indian_harvested,1
(20)—The Mongoose Boy.,,,,,indian_harvested,1
(21)—The Prince and the Tigress.,,,,,indian_harvested,1
(22)—The Cunning Potter.,,,,,indian_harvested,1
(3)—The Tiger’s Marriage.,,,,,indian_harvested,1
(4)—The Jackal and His Neighbours.,,,,,indian_harvested,1
(5)—The Jackal and the Tigers.,,,,,indian_harvested,1
(6)—The Wild Buffaloes.,,,,,indian_harvested,1
(7)—The Grateful Cow.,,,,,indian_harvested,1
(8)—The Belbati Princess.,,,,,indian_harvested,1
(9)—The Bread Tree.,,,,,indian_harvested,1
ABUL HUSSAIN,,,,,indian_harvested,1
THE ADVENTURES OF A BIRD,,,,,indian_harvested,1
The Adventures of Two Thieves and of their Sons,,,,,indian_harvested,1
The Alligator and the Jackal,66A,India,,type0066a.html,catalogue_indian_ashliman|indian_harvested,2
"THE ANAR PARI, OR POMEGRANATE FAIRY",,,,,indian_harvested,1
Another Lazy Man.,,,,,indian_harvested,1
Anuwa and His Mother.,,,,,indian_harvested,1
THE ASS AS A SINGER,,,,,indian_harvested,1
The Ass in the Lion&#x27;s Skin,,,,,indian_harvested,1
"The Axe, the Drum, the Bowl, and the Diamond",,,,,indian_harvested,1
The Backwards and Forwards Dance.,,,,,indian_harvested,1
Baijal and the Bonga.,,,,,indian_harvested,1
Bajun and Jhore.,,,,,indian_harvested,1
The Bald Man and the Hair-Restorer,,India,,bald.html,catalogue_indian_ashliman,1
The Bald Wife,480,India,,type0480.html,catalogue_indian_ashliman|indian_harvested,2
Banke Chhail and His Wife,901,India,,type0901.html,catalogue_indian_ashliman,1
THE BANYAN DEER,,,,,indian_harvested,1
THE BARBER AND THE THIEF,,,,,indian_harvested,1
Barber Him and the Tigers,,,,,indian_harvested|indian_stokes,2
THE BARBER&#x27;S CLEVER WIFE,,,,,indian_harvested,1
BARBIL’S SON,,,,,indian_harvested,1
THE BEAR&#x27;S BAD BARGAIN,,,,,indian_harvested,1
THE BEAUTIFUL MILKMAID,,,,,indian_harvested,1
BEAUTY AND BROWNIE,,,,,indian_harvested,1
The Bed,,,,,indian_harvested|indian_stokes,2
The Beetle and the Silken Thread.[2],,,,,indian_harvested,1
The Beggar and the Five Muffins,1351,India,,type1351.html,catalogue_indian_ashliman|indian_harvested,2
The Beginning of Things.,,,,,indian_harvested,1
The Bel-Princess,,,,,indian_stokes,1
Beware of Bad Company,,,,,indian_harvested,1
BEY HUSLO,,,,,indian_harvested,1
BICKERMANJI THE INQUISITIVE,,,,,indian_harvested,1
The Billy Goat and the King,670,"India, Andrew Lang",,type0670.html,catalogue_indian_ashliman,1
Birds of a Feather,,,,,indian_harvested,1
Birluri and Birbanta.,,,,,indian_harvested,1
"THE BLIND MAN, THE DEAF MAN AND THE DONKEY.",,,,,indian_harvested,1
THE BLUE JACKAL,,,,,indian_harvested,1
The Bold Beggar,,,,,indian_harvested,1
The Bonga Exorcised.,,,,,indian_harvested,1
The Bonga Headman.,,,,,indian_harvested,1
The Bonga’s Cave.,,,,,indian_harvested,1
The Bonga’s Victim.,,,,,indian_harvested,1
The Booby and the Crab,231,"India, The Hitopadesa",,type0231.html,catalogue_indian_ashliman,1
BOPOLÛCHÎ,,,,,indian_harvested,1
The Boundary Bonga.,,,,,indian_harvested,1
The Boy and His Fate.,,,,,indian_harvested,1
The Boy and his Stepmother.,,,,,indian_harvested,1
The Boy Who Found His Father.,,,,,indian_harvested,1
The Boy who had a Moon on his Forehead and a Star on his Chin,,,,,indian_harvested|indian_stokes,2
The Boy Who Learnt Magic.,,,,,indian_harvested,1
The Boy Who Was Changed into a Dog.,,,,,indian_harvested,1
"The Boy whom his Parents, the King, and the Giant conspired to Kill (Goblin 18)",,,,,indian_harvested,1
The Boy whom Seven Mothers Suckled,,,,,indian_harvested,1
The Boy with the Moon on his Forehead,,,,,indian_harvested,1
The Boy with the Stag.,,,,,indian_harvested,1
The Brâhmaṇ Priest who became an Amildâr.1,,,,,indian_harvested,1
The Brâhmiṇ Girl that Married a Tiger.,,,,,indian_harvested,1
The Brahman Girl That Married a Tiger,312,India,,type0312.html,catalogue_indian_ashliman,1
The Brahman's Clothes,1558,India,,type1558.html,catalogue_indian_ashliman|indian_harvested,2
The Brahman’s Powers.,,,,,indian_harvested,1
The Brahman's Wife and the Mongoose,178A,"India, The Panchatantra",,type0178a.html,catalogue_indian_ashliman,1
"The Brahman, the Tiger, and the Six Judges",155,India,,type0155.html,catalogue_indian_ashliman,1
The Brahman who died because Poison from a Snake in the Claws of a Hawk fell into a Dish of Food given him by a Charitable Woman (Goblin 12),,,,,indian_harvested,1
The Brahman Wife and Her Seven Sons,,,,,indian_harvested,1
BRAHMANABAD.—I.,,,,,indian_harvested,1
BRAHMANABAD.—II.,,,,,indian_harvested,1
The Brahmarâkshas and the Hair,1175,India,,type1175.html,catalogue_indian_ashliman|indian_harvested,2
THE BRAHMIN AND THE WILD GEESE,,,,,indian_harvested,1
THE BRAHMIN’S DAUGHTER,,,,,indian_harvested,1
"THE BRAHMIN, THE TIGER AND THE SIX JUDGES.",,,,,indian_harvested,1
Brave Hiralalbasa,,,,,indian_harvested|indian_stokes,2
The Brave Jackal.,,,,,indian_harvested,1
THE BRAVE LITTLE BOWMAN,,,,,indian_harvested,1
"The Brave Man, the Wise Man, and the Clever Man (Goblin 5)",,,,,indian_harvested,1
BRAVE SEVENTEE BAI.,,,,,indian_harvested,1
The Bridegroom Who Spoke in Riddles.,,,,,indian_harvested,1
The Broken Friendship.,,,,,indian_harvested,1
The Broken Pot,,,,,indian_harvested,1
The Bulbul and the Cotton-tree,,,,,indian_harvested|indian_stokes,2
The Bull and the Bullfinch,,,,,indian_harvested,1
The Bullfrog and the Crab.,,,,,indian_harvested,1
The Bullock's Balls,555,India,,type0555.html,catalogue_indian_ashliman,1
THE BUNNIAH’S GHOST,,,,,indian_harvested,1
