atu,topic,title,culture,author,origin_raw,source_page
910B,Advice Well Taken,The Prince Who Acquired Wisdom,India,,India,type0910b.html
1430,Air Castles,The Story of the Devotee Who Spilt the Jar of Honey and Oil,India/Persia,,India/Persia,type1430.html
1430,Air Castles,The Daydreamer,"India, Henry Cecil Bompas",,"India, Henry Cecil Bompas",type1430.html
1430,Air Castles,Sheik Chilli,"India, Alice Elizabeth Dracott",,"India, Alice Elizabeth Dracott",type1430.html
,Bald Stories,The Foolish Bald Man and the Fool Who Pelted Him,India,,India,bald.html
,Bald Stories,The Bald Man and the Hair-Restorer,India,,India,bald.html
562,The Blue Light,Sir Buzz,India,,India,type0562.html
312,Bluebeard,The Brahman Girl That Married a Tiger,India,,India,type0312.html
2031C,The Mouse Who Was to Marry the Sun,The Transformed Mouse Seeks a Bridegroom,India,The Panchatantra,India (The Panchatantra),type2031c.html
2031C,The Mouse Who Was to Marry the Sun,A Story on Caste,India,,India,type2031c.html
2033,The End of the World,The Timid Hare and the Flight of the Beasts,India,,India,type2033.html
2034D,The Grain of Corn and The Little Blackbird,The Grain of Corn,India,,India,type2034d.html
2034D,The Grain of Corn and The Little Blackbird,The Little Blackbird,India,,India,type2034d.html
231,"The Crane, the Crab, and the Fish",The Cruel Crane Outwitted,"India, The Jataka",,"India, The Jataka",type0231.html
231,"The Crane, the Crab, and the Fish",The Heron That Liked Crab-Meat,"India, The Panchatantra",,"India, The Panchatantra",type0231.html
231,"The Crane, the Crab, and the Fish",The Heron and the Crab,"India, The Book of Kalilah and Dimnah",,"India, The Book of Kalilah and Dimnah",type0231.html
231,"The Crane, the Crab, and the Fish",The Crane and the Makara,"India, The Kathá Sarit Ságara",,"India, The Kathá Sarit Ságara",type0231.html
231,"The Crane, the Crab, and the Fish",The Booby and the Crab,"India, The Hitopadesa",,"India, The Hitopadesa",type0231.html
231,"The Crane, the Crab, and the Fish",The Crane and the Fish,India,,India,type0231.html
231,"The Crane, the Crab, and the Fish","The Crane, the Crab, and the Fish",India,,India,type0231.html
1175,Straightening a Curly Hair,The Brahmarâkshas and the Hair,India,,India,type1175.html
1175,Straightening a Curly Hair,Tapai and the Brahman,India,,India,type1175.html
1641,Doctor Know-All,Harisarman,India,,India,type1641.html
1641,Doctor Know-All,The Stolen Treasure,India,,India,type1641.html
1641,Doctor Know-All,The Four Jogis,India,,India,type1641.html
122F,Eat Me When I'm Fatter,The Lambikin,India,,India,type0122f.html
1620,The Emperor's New Clothes,The King and the Clever Girl,India,,India,type1620.html
888,The Faithful Wife,A Story Told by a Hindu,India,,India,type0888.html
510B,The Father Who Wanted to Marry His Daughter,Seggu-Jataka: How a Pious Greengrocer Tested His Daughter's Virtue,"India, The Jataka",,"India, The Jataka",type0510b.html
555,The Fisherman and His Wife,The Bullock's Balls,India,,India,type0555.html
1319,The Fool and the Mare's Egg,The Purchase of the Horse's Egg,India,,India,type1319.html
1319,The Fool and the Mare's Egg,The Weaver and the Watermelon,India,,India,type1319.html
63,The Fox (or Jackal) and the Fleas,The Jackal and the Flees,India / Pakiston,,India / Pakiston,type0063.html
480,Frau Holle and Other Tales of Type 480,The Bald Wife,India,,India,type0480.html
160,The Grateful Animals and the Ungrateful Man,The Grateful Animals and the Ungrateful Man,"India, The Panchatantra",,"India, The Panchatantra",type0160.html
68A,Greed,Capturing Monkeys,India,,India,type0068a.html
66A,"Hello, House!",The Alligator and the Jackal,India,,India,type0066a.html
571B,The Himphamp,The Raja's Son and the Kotwal's Son,India,,India,type0571b.html
,Human Sacrifice in Legends and Myths,Rumors of Foundation Sacrifice,India,,India,sacrifice.html
155,Ingratitude Is the World's Reward,"The Crocodile, the Brahman, and the Fox",India,,India,type0155.html
155,Ingratitude Is the World's Reward,"The Brahman, the Tiger, and the Six Judges",India,,India,type0155.html
155,Ingratitude Is the World's Reward,"The Tiger, the Brahman, and the Jackal",India,,India,type0155.html
670,The Language of Animals,The King and His Inquisitive Queen,India,,India,type0670.html
670,The Language of Animals,The Billy Goat and the King,"India, Andrew Lang",,"India, Andrew Lang",type0670.html
670,The Language of Animals,Ramai and the Bonga,India,,India,type0670.html
92,The Lion in the Water,The Lion and the Hare,"India, The Panchatantra",,"India, The Panchatantra",type0092.html
92,The Lion in the Water,The Lion Whose Name Was Pingala,India,,India,type0092.html
92,The Lion in the Water,Singh Rajah and the Cunning Little Jackals,India,,India,type0092.html
92,The Lion in the Water,The Killing of the Rakhas,India,,India,type0092.html
92,The Lion in the Water,The Lion and the Hare,India,,India,type0092.html
50,Curing a Sick Lion,The Hyena Outwitted,India,,India,type0050.html
782,Midas,The Child with the Ears of an Ox,India,,India,type0782.html
1592,The Iron-Eating Mice,Miracle upon Miracle,India,,India,type1592.html
1592,The Iron-Eating Mice,The Mice That Ate an Iron Balance,India,,India,type1592.html
1592,The Iron-Eating Mice,The Iron Weights and Scales Which Were Eaten by Mice,India,,India,type1592.html
112,Town Mouse and Country Mouse,The Greedy and Ambitious Cat,India,,India,type0112.html
112,Town Mouse and Country Mouse,The Dog That Went Abroad,India,,India,type0112.html
1562A,The Master Who Gave Strange Names to Things in His House,Enigmas,India,,India,type1562a.html
780,The Singing Bone,The Magic Fiddle,India,,India,type0780.html
980,Old Grandfathers and Their Grandsons,How an Ungrateful Son Planned to Murder His Old Father,"India, The Jataka",,"India, The Jataka",type0980.html
980,Old Grandfathers and Their Grandsons,A Lesson for Fathers,India,,India,type0980.html
980,Old Grandfathers and Their Grandsons,Don't Beat Grandfather,India,,India,type0980.html
980D,Old Parents and Their Ungrateful Children,The Stingy Daughter,India,,India,type0980d.html
1675,The Education of an Ox,How the Washerman's Ass Became a Qazi,India,,India,type1675.html
1675,The Education of an Ox,"The Priest, the Washerman, and the Ass",India,,India,type1675.html
1540,A Visitor from Paradise,The Good Wife and the Bad Husband,India,,India,type1540.html
1540,A Visitor from Paradise,Shaikh Chilli and the Fakir,India,,India,type1540.html
244,Peacock Plumes,The Painted Jackal,India,,India,type0244.html
1423,The Enchanted Pear Tree,"The Fourth Lady, Her Husband, and the Brahmin",India/Persia,,India/Persia,type1423.html
1423,The Enchanted Pear Tree,The Vibhîtaka Tree,India,,India,type1423.html
704,The Princess on the Pea,The Three Delicate Wives of King Virtue-Banner: Which Is the Most Delicate?,India,,India,type0704.html
545B,Puss in Boots,Jogeshwar's Marriage,India,,India,type0545b.html
545B,Puss in Boots,The Match-Making Jackal,India,,India,type0545b.html
545B,Puss in Boots,The Weaver,India,,India,type0545b.html
955,The Robber Bridegroom,Sulasa and Sattuka,"India, The Jataka",,"India, The Jataka",type0955.html
,Love Like Salt,The Princess Who Loved Her Father Like Salt,India,,India,salt.html
1351,The Silence Wager,The Husband and the Wife Who Made a Wager as to Who Would Eat the Pancake,India / China,,India / China,type1351.html
1351,The Silence Wager,The Beggar and the Five Muffins,India,,India,type1351.html
1351,The Silence Wager,Story of the Third Brahman,India,,India,type1351.html
214A,Singing Thieves,The Musical Donkey,India,The Panchatantra,India (The Panchatantra),type0214a.html
214A,Singing Thieves,Tit for Tat,India,,India,type0214a.html
285B,The Person Who Swallowed a Snake (or Similar Dangerous Creature),The Snake in the Prince's Belly,India,,India,type0285bast.html
,Snake and Serpent Husbands,The Enchanted Brahman's Son,India. The Panchatantra,,India. The Panchatantra,snake.html
,Snake and Serpent Husbands,Muchie-Lal,India,,India,snake.html
,Snake and Serpent Husbands,The Snake Prince,India,,India,snake.html
,Snake and Serpent Husbands,The Caterpillar Boy,India,,India,snake.html
,Snake and Serpent Husbands,The River Snake,"India, Cecil Henry Bompas",,"India, Cecil Henry Bompas",snake.html
650A,The Strong Boy,The Strong Man,India,,India,type0650a.html
2,The Tail-Fisher,Fox and Wolf,American Indian,,American Indian,type0002.html
901,Taming of the Shrew: The Disobedient Wife,Banke Chhail and His Wife,India,,India,type0901.html
175,The Tar-Baby,How Prince Five-Weapons Fought the Ogre Hairy-Grip,"India, Jataka Tales",,"India, Jataka Tales",type0175.html
175,The Tar-Baby,The Demon with the Matted Hair,"India, Jataka Tales, retold by Joseph Jacobs",,"India, Jataka Tales, retold by Joseph Jacobs",type0175.html
175,The Tar-Baby,The Jackal and the Chickens,India,,India,type0175.html
700,Tom Thumb,A Man Who Was Only a Finger and a Half in Stature,Bangladesh / India,,Bangladesh / India,type0700.html
170A,Trading Up (1),The Rat's Wedding,Northern India,,Northern India,type0170a.html
170A,Trading Up (1),The Monkey with the Tom-Tom,Southern India,,Southern India,type0170a.html
763,Treasure Finders Murder One Another,The Reward of Covetousness,India,,India,type0763.html
1741,Trickster Wives and Maids,The Good Husband and the Bad Wife,India,,India,type1741.html
1377,An Adulterous Wife Locks Her Husband Out of Doors,The Unfaithful Wife,India,,India,type1377.html
1381,The Wife Who Could Not Keep a Secret,How a Woman Could Not Keep a Secret,India,,India,type1381.html
1381,The Wife Who Could Not Keep a Secret,The Wife Who Could Not Keep a Secret,India,,India,type1381.html
