title,atu,culture,author,source_page,sources,n_sources
Abel and Cain,,Italy,,cain.html,catalogue_italian_ashliman,1
AMADEA.,,Italian,italian_busk_en,,italian_harvested,1
THE ASS.,,Italian,italian_crane_en,,italian_harvested,1
ASS OR PIG.1,,Italian,italian_busk_en,,italian_harvested,1
The Ass That Lays Money,563,Italy,italian_crane_en,type0563.html,catalogue_italian_ashliman|italian_harvested,2
Astrological Portents,7080,Italy / Spain / France,,type7080.html,catalogue_italian_ashliman,1
THE BAD-TEMPERED QUEEN.1,,Italian,italian_busk_en,,italian_harvested,1
THE BAKER&#x27;S APPRENTICE.,,Italian,italian_crane_en,,italian_harvested,1
Bastianelo,,Italian,Crane,,italian_harvested|italian_wikipedia,2
The Beautiful Anna,410,Italy,Sicily,type0410.html,catalogue_italian_ashliman,1
THE BEAUTIFUL ENGLISHWOMAN.,,Italian,italian_busk_en,,italian_harvested,1
The Beautiful Glutton,501,Italy,Tuscany,type0501.html,catalogue_italian_ashliman,1
THE BEGGAR AND THE CHICK-PEA.1,,Italian,italian_busk_en,,italian_harvested,1
BELLACUCCIA.,,Italian,italian_busk_en,,italian_harvested,1
BEPPO PIPETTA.,,Italian,italian_crane_en,,italian_harvested,1
BIERDE.,,Italian,italian_crane_en,,italian_harvested,1
THE BOOBY,,Italian,italian_basile_en,,italian_harvested,1
THE BOOBY.1,,Italian,italian_busk_en,,italian_harvested,1
Boots,1375,Italy,,type1375.html,catalogue_italian_ashliman,1
The Boundary Stone,,Italy / Austria,,plowman.html,catalogue_italian_ashliman,1
BROTHER GIOVANNONE.,,Italian,italian_crane_en,,italian_harvested,1
Buchettino,,Italian (Tuscan),Crane,,italian_harvested|italian_wikipedia,2
The Bucket,480,Italy,italian_crane_en,type0480.html,catalogue_italian_ashliman|italian_harvested,2
Buttadeu,777,Italy,,type0777.html,catalogue_italian_ashliman,1
CÈCINGÙLO.,,Italian,italian_busk_en,,italian_harvested,1
Cannetella,900,"Italy, Giambattista Basile, Il Pentamerone",italian_basile_en,type0900.html,catalogue_italian_ashliman|italian_harvested,2
The Cat and the Mouse,2022,Italy,italian_crane_en,type2022.html,catalogue_italian_ashliman|italian_harvested,2
THE CATS WHO MADE THEIR MASTER RICH.,,Italian,italian_busk_en,,italian_harvested,1
Cattarinetta,333A,Italy,,type0333a.html,catalogue_italian_ashliman,1
Cenerentola,,Italian (Neapolitan),Basile,,italian_harvested|italian_wikipedia,2
THE CHICORY-SELLER AND THE ENCHANTED PRINCESS.1,,Italian,italian_busk_en,,italian_harvested,1
CHRISTMAS.,,Italian,italian_crane_en,,italian_harvested,1
Cinderella,510A,Italy,Crane,type0510a.html,catalogue_italian_ashliman|italian_harvested|italian_wikipedia,3
THE CISTERN.,,Italian,italian_crane_en,,italian_harvested,1
THE CLEVER GIRL.,,Italian,italian_crane_en,,italian_harvested,1
THE CLEVER PEASANT.,,Italian,italian_crane_en,,italian_harvested,1
THE CLOUD.,,Italian,italian_crane_en,,italian_harvested,1
THE COBBLER.,,Italian,italian_crane_en,,italian_harvested,1
THE COCK.,,Italian,italian_crane_en,,italian_harvested,1
The Cock and the Mouse,2032,Italy,italian_crane_en,type2032.html,catalogue_italian_ashliman|italian_harvested,2
THE COCK THAT WISHED TO BECOME POPE.,,Italian,italian_crane_en,,italian_harvested,1
CONCLUSION,,Italian,italian_basile_en,,italian_harvested,1
THE COOK.,,Italian,italian_crane_en,,italian_harvested,1
CORVETTO,,Italian,italian_basile_en,,italian_harvested,1
Count Fiesco's Parrot,237,Italy,,type0237.html,catalogue_italian_ashliman,1
Count Martin of the Cat,545B,Italy / Austria,,type0545b.html,catalogue_italian_ashliman,1
THE COUNTESS’S CAT.1,,Italian,italian_busk_en,,italian_harvested,1
Crab,1641,Italy,italian_crane_en,type1641.html,catalogue_italian_ashliman|italian_harvested,2
The Crumb in the Beard,900,Italy,italian_crane_en,type0900.html,catalogue_italian_ashliman|italian_harvested,2
The Crystal Casket,709,Italy,,type0709.html,catalogue_italian_ashliman,1
Cuentos populares italianos,,Italian,Bernoni,,italian_wikipedia,1
The Curse of the Seven Children,451,Italy,italian_crane_en,type0451.html,catalogue_italian_ashliman|italian_harvested,2
The Dancing Water Singing Apple and Speaking Bird,,Italian,Crane,,italian_wikipedia,1
"THE DANCING WATER, THE SINGING APPLE, AND THE SPEAKING BIRD.[9]",,Italian,italian_crane_en,,italian_harvested,1
THE DARK KING.1,,Italian,italian_busk_en,,italian_harvested,1
THE DAUGHTER OF COUNT LATTANZIO.1,,Italian,italian_busk_en,,italian_harvested,1
THE DEAD MAN IN THE OAK-TREE.1,,Italian,italian_busk_en,,italian_harvested,1
THE DEAD MAN’S LETTER.1,,Italian,italian_busk_en,,italian_harvested,1
DESPERATE MALCHUS.,,Italian,italian_crane_en,,italian_harvested,1
