atu,topic,title,culture,author,origin_raw,source_page
910B,Advice Well Taken,The Three Admonitions,Italy,,Italy,type0910b.html
361,Bearskin,Two for One,Italy,,Italy,type0361.html
361,Bearskin,Don Giovanni de la Fortuna,Sicily,,Sicily,type0361.html
425C,Beauty and the Beast,Zelinda and the Monster,Italy,,Italy,type0425c.html
7070,Sunken Bells,The Sunken City,Austria / Italy,,Austria / Italy,type7070.html
312,Bluebeard,Don Firriulieddu,Italy,,Italy,type0312.html
1678,The Boy Who Had Never Seen a Woman,An Inexperienced Youth,"Italy, The Facetiæ of Poggio",,"Italy, The Facetiæ of Poggio",type1678.html
451,The Brothers Who Were Turned into Birds,The Seven Doves,"Italy, Giambattista Basile",,"Italy, Giambattista Basile",type0451.html
451,The Brothers Who Were Turned into Birds,The Curse of the Seven Children,Italy,,Italy,type0451.html
,Cain and Abel,Abel and Cain,Italy,,Italy,cain.html
333A,Cattarinetta,Cattarinetta,Italy,,Italy,type0333a.html
2022,Mourning the Death of a Spouse,The Cat and the Mouse,Italy,,Italy,type2022.html
2032,The Cock and the Mouse and The Sexton's Nose,The Cock and the Mouse,Italy,,Italy,type2032.html
2032,The Cock and the Mouse and The Sexton's Nose,The Sexton's Nose,Italy,,Italy,type2032.html
366,A Corpse Claims Its Property,Saddaedda,Italy,,Italy,type0366.html
,The Origin of Underground People,Eve's Children,Austria / Italy,,Austria / Italy,originunder.html
1030,Crop Division between Man and Ogre,Saint John and the Devil,Italy/Austria,,Italy/Austria,type1030.html
592,Dancing in Thorns,The Little Flute,Italy,,Italy,type0592.html
1641,Doctor Know-All,Crab,Italy,,Italy,type1641.html
1645,The Man Who Became Rich through a Dream,The Fish-Dealer of Palermo,Italy,,Italy,type1645.html
503,Fairy Gifts,The Two Hunchbacked Brothers,Italy,,Italy,type0503.html
503,Fairy Gifts,The Two Humpbacks,Italy,,Italy,type0503.html
510B,The Father Who Wanted to Marry His Daughter,Doralice,"Italy, Giovanni Francesco Straparola",,"Italy, Giovanni Francesco Straparola",type0510b.html
510B,The Father Who Wanted to Marry His Daughter,The She-Bear,"Italy, Giambattista Basile",,"Italy, Giambattista Basile",type0510b.html
510B,The Father Who Wanted to Marry His Daughter,Fair Maria Wood,"Italy, Thomas Frederick Crane",,"Italy, Thomas Frederick Crane",type0510b.html
510B,The Father Who Wanted to Marry His Daughter,Maria Wood,Italy,,Italy,type0510b.html
1586,The Foolish Friend,Fortunio,"Italy, Giovanni Francesco Straparola",,"Italy, Giovanni Francesco Straparola",type1586.html
1586,The Foolish Friend,Giufà and the Judge,Italy,,Italy,type1586.html
1586,The Foolish Friend,The Little Omelet,Italy,,Italy,type1586.html
675,The Fool Whose Wishes All Came True,Juvadi and the Princess,Italy,,Italy,type0675.html
1319,The Fool and the Mare's Egg,Donkey Seed,Italy,,Italy,type1319.html
480,Frau Holle and Other Tales of Type 480,The Bucket,Italy,,Italy,type0480.html
706,The Girl without Hands,The Innkeeper's Beautiful Daughter,Italy,,Italy,type0706.html
706,The Girl without Hands,The Girl without Hands,Italy / Austria,,Italy / Austria,type0706.html
332,Godfather Death,Godfather Death,Italy,Sicily,Italy (Sicily),type0332.html
332,Godfather Death,The Just Man,Italy,,Italy,type0332.html
155,Ingratitude Is the World's Reward,The Ingrates,Italy,,Italy,type0155.html
155,Ingratitude Is the World's Reward,"The Lion, the Horse, and the Fox",Italy,,Italy,type0155.html
1965,Lying Tales,The Three Brothers,Italy,,Italy,type1965.html
500,The Name of the Helper,Tarandandò,Italy,,Italy,type0500.html
780,The Singing Bone,The Griffin,Italy,,Italy,type0780.html
980,Old Grandfathers and Their Grandsons,Let Him That Does Evil Expect Evil in Return,"Italy, Ortensio Lando",,"Italy, Ortensio Lando",type0980.html
1540,A Visitor from Paradise,The Simple Wife,Italy,,Italy,type1540.html
237,The Parrot That Talked Too Much,Count Fiesco's Parrot,Italy,,Italy,type0237.html
,The Pied Piper of Hameln,Mice in Glurns,Austria / Italy,,Austria / Italy,hameln.html
7080,Plague Legends,The Plague Column in Auer,Italy,,Italy,type7080.html
7080,Plague Legends,Astrological Portents,Italy / Spain / France,,Italy / Spain / France,type7080.html
,Dishonest Surveyor and Plowman Legends,The Boundary Stone,Italy / Austria,,Italy / Austria,plowman.html
704,The Princess on the Pea,The Most Sensitive Woman,Italy,,Italy,type0704.html
545B,Puss in Boots,Count Martin of the Cat,Italy / Austria,,Italy / Austria,type0545b.html
545B,Puss in Boots,Don Joseph Pear,Italy,,Italy,type0545b.html
