title,atu,culture,author,source_page,sources,n_sources
"THE ADVENTURES OF KINTARO, THE GOLDEN BOY",,,,,japanese_edition_tocs,1
Amabie: The Ancient Beast Helping Japan Ward Off the Coronavirus,7080,Japan,,type7080.html,catalogue_japanese_ashliman,1
"Baku, Eater of Dreams",,Japan,,nightmare.html,catalogue_japanese_ashliman,1
THE BAMBOO-CUTTER AND THE MOON-CHILD,,,,,japanese_edition_tocs,1
THE BEAUTIFUL DANCER OF YEDO,,,,,japanese_edition_tocs,1
THE BELL OF DŌJŌJI,,,,,japanese_edition_tocs,1
THE BLACK BOWL,,,,,japanese_edition_tocs,1
BROKEN IMAGES,,,,,japanese_edition_tocs,1
THE COLD LADY,,,,,japanese_edition_tocs,1
The Elves and the Envious Neighbor,503,Japan,,type0503.html,catalogue_japanese_ashliman,1
THE ESPOUSAL OF THE RAT’S DAUGHTER,,,,,japanese_edition_tocs,1
THE FARMER AND THE BADGER,,,,,japanese_edition_tocs,1
The Feathery Robe,,Japan,,swan.html,catalogue_japanese_ashliman,1
THE FIRE QUEST,,,,,japanese_edition_tocs,1
FLOWER OF THE PEONY,,,,,japanese_edition_tocs,1
THE FLUTE,,,,,japanese_edition_tocs,1
THE GOBLIN OF ADACHIGAHARA,,,,,japanese_edition_tocs,1
THE GOOD THUNDER,,,,,japanese_edition_tocs,1
GREEN WILLOW,,,,,japanese_edition_tocs,1
HANA-SAKA-JIJI,,,,,japanese_edition_tocs,1
THE HAPPY HUNTER AND THE SKILLFUL FISHER,,,,,japanese_edition_tocs,1
HORAIZAN,,,,,japanese_edition_tocs,1
How an Old Man Lost His Wen,503,Japan,,type0503.html,catalogue_japanese_ashliman|japanese_edition_tocs,2
THE JELLY FISH AND THE MONKEY,,,,,japanese_edition_tocs,1
THE JELLY-FISH TAKES A JOURNEY,,,,,japanese_edition_tocs,1
The Jellyfish and the Monkey,91,Japan,,type0091.html,catalogue_japanese_ashliman,1
KARMA,,,,,japanese_edition_tocs,1
THE LAND OF YOMI,,,,,japanese_edition_tocs,1
A LEGEND OF KWANNON,,,,,japanese_edition_tocs,1
THE MAIDEN OF UNAI,,,,,japanese_edition_tocs,1
THE MALLET,,,,,japanese_edition_tocs,1
THE MATSUYAMA MIRROR,,,,,japanese_edition_tocs,1
THE MIRROR OF MATSUYAMA A STORY OF OLD JAPAN,,,,,japanese_edition_tocs,1
MOMOTARO,,,,,japanese_edition_tocs,1
"MOMOTARO, OR THE STORY OF THE SON OF A PEACH",,,,,japanese_edition_tocs,1
The Monkey and the Jellyfish,91,Japan,,type0091.html,catalogue_japanese_ashliman,1
THE MOON MAIDEN,,,,,japanese_edition_tocs,1
MY LORD BAG OF RICE,,,,,japanese_edition_tocs,1
THE NURSE,,,,,japanese_edition_tocs,1
THE OGRE OF RASHOMON,,,,,japanese_edition_tocs,1
The Old Man with the Wen,503,Japan,,type0503.html,catalogue_japanese_ashliman,1
THE PEONY LANTERN,,,,,japanese_edition_tocs,1
THE QUARREL OF THE MONKEY AND THE CRAB,,,,,japanese_edition_tocs,1
The Rats and Their Daughter,2031C,Japan,,type2031c.html,catalogue_japanese_ashliman,1
REFLECTIONS,,,,,japanese_edition_tocs,1
THE ROBE OF FEATHERS,,,,,japanese_edition_tocs,1
THE SAD STORY OF THE YAOYA’S DAUGHTER,,,,,japanese_edition_tocs,1
The Sagacious Monkey and the Boar,101,Japan,,type0101.html,catalogue_japanese_ashliman|japanese_edition_tocs,2
