atu,topic,title,culture,author,origin_raw,source_page
1161,The Bear Trainer and His Cat,Peer Gynt and the Trolls,Norway,,Norway,type1161.html
1161,The Bear Trainer and His Cat,The Cat on the Dovrefjell,Norway,,Norway,type1161.html
1161,The Bear Trainer and His Cat,The Troll and the Bear,Norway,,Norway,type1161.html
1451,Bride Tests,The Storehouse Key in the Distaff,Norway,,Norway,type1451.html
451,The Brothers Who Were Turned into Birds,The Twelve Wild Ducks,Norway,,Norway,type0451.html
2022,Mourning the Death of a Spouse,The Cock Who Fell into the Brewing Vat,Norway,,Norway,type2022.html
2025,The Runaway Pancake,The Pancake,Norway,,Norway,type2025.html
2030,The Old Woman and Her Pig,Nanny Who Wouldn't Go Home to Supper,Norway,,Norway,type2030.html
2033,The End of the World,The Hen That Went to Dovrefjell to Keep the Whole World from Coming to an End,Norway,,Norway,type2033.html
,Scandinavian Changeling Legends,The Midwife at Rørhus,Norway,,Norway,scanchange.html
,Scandinavian Changeling Legends,Changelings,Norway,,Norway,scanchange.html
,Scandinavian Changeling Legends,They Said She Was a Changeling,Norway,,Norway,scanchange.html
,The Origin of Underground People,The Hidden People in Valdres,Norway,,Norway,originunder.html
,The Origin of Underground People,The Origin of the Tusser,Norway,,Norway,originunder.html
1030,Crop Division between Man and Ogre,The Bear and the Fox Go into Partnership,Norway,,Norway,type1030.html
592,Dancing in Thorns,Little Freddy and His Fiddle,Norway,,Norway,type0592.html
1641,Doctor Know-All,The Charcoal Burner,Norway,,Norway,type1641.html
6045,Fairy Cup Legends,The Öiestad (Øyestad) Horn,Norway,,Norway,type6045.html
63,The Fox (or Jackal) and the Fleas,When the Fox Wants to Get Rid of His Fleas,Norway,,Norway,type0063.html
15,The Fox Steals the Butter,The Fox Cheats the Bear out of His Christmas Fare,Norway,,Norway,type0015.html
480,Frau Holle and Other Tales of Type 480,The Two Stepsisters,Norway,,Norway,type0480.html
332,Godfather Death,The Boy with the Ale Keg,Norway,,Norway,type0332.html
47A,Catching a Horse by Its Tail,Reynard Wants to Taste Horseflesh,Norway,,Norway,type0047a.html
154,The Jackal and the Farmer,Well Done and Ill Paid,Norway,,Norway,type0154.html
,Master Builders and Their Supernatural Helpers,King Olaf and the Giant,Norway,,Norway,mbuilder.html
247,Every Mother Thinks Her Child Is the Most Beautiful,One's Own Children Are Always Prettiest,Norway,,Norway,type0247.html
112,Town Mouse and Country Mouse,The Town Mouse and the Country Mouse,Norway,,Norway,type0112.html
1540,A Visitor from Paradise,All Women Are Alike,Norway,,Norway,type1540.html
545B,Puss in Boots,Helge-Hal in the Blue Hill,Norway,,Norway,type0545b.html
545B,Puss in Boots,Lord Peter,Norway,,Norway,type0545b.html
570,The Rabbit Herd,The King's Hares,Norway,,Norway,type0570.html
955,The Robber Bridegroom,The Sweetheart in the Wood,Norway,,Norway,type0955.html
565,Why the Sea Is Salty,Why the Sea Is Salt,Norway,,Norway,type0565.html
285B,The Person Who Swallowed a Snake (or Similar Dangerous Creature),The Islay Doctor,Scotland / Norway,,Scotland / Norway,type0285bast.html
2,The Tail-Fisher,Why the Bear Is Stumpy-Tailed,Norway,,Norway,type0002.html
900,Taming a Shrewish Wife: The Proud Princess,Haaken Grizzlebeard,Norway,,Norway,type0900.html
122E,Three Billy Goats Gruff,The Three Billy Goats Gruff,Norway,,Norway,type0122e.html
563,Three Magic Gifts,The Lad Who Went to the North Wind,"Norway, Peter Christian Asbjørnsen and Jørgen Moe",,"Norway, Peter Christian Asbjørnsen and Jørgen Moe",type0563.html
700,Tom Thumb,Thumbikin,Norway,,Norway,type0700.html
1415,Trading Away One's Fortune,Gudbrand on the Hillside,"Norway, Peter Christen Asbjørnsen and Jørgen Moe",,"Norway, Peter Christen Asbjørnsen and Jørgen Moe",type1415.html
,Trading Places,The Husband Who Was to Mind the House,"Norway, Peter Christen Asbjørnsen and Jørgen Moe",,"Norway, Peter Christen Asbjørnsen and Jørgen Moe",tradingplaces.html
613,The Two Travelers: Truth and Falsehood,True and Untrue,Norway,,Norway,type0613.html
2250,Unfinished and Endless Stories,The Chest With Something Rare In It,Norway,,Norway,type2250.html
1696,What Should I Have Said (or Done)?,Silly Matt,Norway,,Norway,type1696.html
1365A,The Contrary Wife,The Contrary Woman,Norway,,Norway,type1365abc.html
3055,The Witch That Was Hurt,The Severed Hand,Norway,,Norway,type3055.html
1383,The Woman Who Did Not Know Herself,All Women Are Alike,Norway,,Norway,type1383.html
1383,The Woman Who Did Not Know Herself,Gidske,Norway,,Norway,type1383.html
311,How the Devil Married Three Sisters,The Three Sisters Who Were Taken into the Mountain,Norway,,Norway,type0311.html
501,The Three Spinning Women,The Three Aunts,Norway,,Norway,type0501.html
402,Animal Brides,Doll i' the Grass,Norway,,Norway,type0402.html
726,"Old, Older, and Oldest",The Seventh Father of the House,"Norway, Peter Christen Asbjørnsen",,"Norway, Peter Christen Asbjørnsen",type0726.html
130,The Bremen Town Musicians,The Sheep and the Pig Who Set Up House,Norway,,Norway,type0130.html
510A,Cinderella,Katie Woodencloak,Norway,Peter Christen Asbjørnsen and Jørgen Moe,Norway (Peter Christen Asbjørnsen and Jørgen Moe),type0510a.html
