title,atu,culture,author,source_page,sources,n_sources
Ahmad Girdu And His Two Brothers,,,,,persian_edition_tocs,1
The Baker And The Grateful Fish,,,,,persian_edition_tocs,1
Baldhead And The Scanty-Beards,,,,,persian_edition_tocs,1
The Boy Who Became A Bulbul,,,,,persian_edition_tocs,1
The Brother Whose Luck Was Asleep,,,,,persian_edition_tocs,1
The Cat and the Mouse,,,,,persian_edition_tocs,1
The City Of Nothing-In-The-Wo Rld,,,,,persian_edition_tocs,1
The Colt Q^Ytas,,,,,persian_edition_tocs,1
The Colt Qeytas,,,,,persian_edition_tocs,1
The Country Of Fools,,,,,persian_edition_tocs,1
The Cowherd Who Woke The Princess,,,,,persian_edition_tocs,1
The Deadly Mosque,326,Persia,,type0326.html,catalogue_persian_ashliman,1
Fayiz And His Peri Wife,,,,,persian_edition_tocs,1
The Fortune-Teller,,,,,persian_edition_tocs,1
"The Fourth Lady, Her Husband, and the Brahmin",1423,India/Persia,,type1423.html,catalogue_persian_ashliman,1
The Fox's Pilgrimage To Mecca,,,,,persian_edition_tocs,1
The Golden Lamp-Stand,,,,,persian_edition_tocs,1
The Grateful Corpse,,,,,persian_edition_tocs,1
Haider Beg And Samamber,,,,,persian_edition_tocs,1
HISTORY OF KING ĀZĀDBAKHT AND THE VIZIER’S DAUGHTER.,,,,,persian_edition_tocs,1
How Fatima Killed Her Mother And What Came Of It,,,,,persian_edition_tocs,1
The Hunter And The White Snake,,,,,persian_edition_tocs,1
The Idiot Boy Who Became King,,,,,persian_edition_tocs,1
The Impious Thorn-Gatherer,,,,,persian_edition_tocs,1
The Jealous Sisters,,,,,persian_edition_tocs,1
The King and the Fisherman,,,,,persian_edition_tocs,1
The King And The Two Blind Beggars,,,,,persian_edition_tocs,1
The King's Treasure,,,,,persian_edition_tocs,1
Little Fatima,,,,,persian_edition_tocs,1
"The Magic Bird [99 """,,,,,persian_edition_tocs,1
The Man Who Bought Three Pieces Of Advice,,,,,persian_edition_tocs,1
The Man Who Went To Wake His Luck,,,,,persian_edition_tocs,1
The Marten-Stone,,,,,persian_edition_tocs,1
The Merchant And The Saffron,,,,,persian_edition_tocs,1
The Merchant Of Isfahan And His Faithless Wife,,,,,persian_edition_tocs,1
Muhammad Tirandaz The Archer,,,,,persian_edition_tocs,1
Mushkil Gusha,,,,,persian_edition_tocs,1
Nukhudu Or Master Pea,,,,,persian_edition_tocs,1
The Orange And Citron Princess,,,,,persian_edition_tocs,1
The Parrot and the Oilman,237,Iran,,type0237.html,catalogue_persian_ashliman,1
The Peri And The King's Son,,,,,persian_edition_tocs,1
The Praying Baker,,,,,persian_edition_tocs,1
The Prince And The Peri,,,,,persian_edition_tocs,1
The Prince Who Didn'T Exist,,,,,persian_edition_tocs,1
Ramazan Of Hamadan And The Poor Labourer,,,,,persian_edition_tocs,1
""" Roads "" And "" Shortcuts """,,,,,persian_edition_tocs,1
The Seven Daughters,,,,,persian_edition_tocs,1
Shah Abbas And The Poor Mother,,,,,persian_edition_tocs,1
The Shawl-Weaver And The Seven Spinsters,,,,,persian_edition_tocs,1
The Shepherd Who Found A Treasure,,,,,persian_edition_tocs,1
The Snake-Prince Sleepy-Head,,,,,persian_edition_tocs,1
The Son of the Soap Seller,,,,,persian_edition_tocs,1
"STORY OF ABŪ SABER; OR, THE PATIENT MAN.",,,,,persian_edition_tocs,1
STORY OF ABŪ TEMĀM.,,,,,persian_edition_tocs,1
STORY OF KING DĀDĪN AND HIS TWO VIZIERS.,,,,,persian_edition_tocs,1
The Story of the Devotee Who Spilt the Jar of Honey and Oil,1430,India/Persia,,type1430.html,catalogue_persian_ashliman,1
"STORY OF THE ILL-FATED MERCHANT, AND HIS ADVENTURES.",,,,,persian_edition_tocs,1
STORY OF THE IMPATIENT PRINCE OF ALEPPO.,,,,,persian_edition_tocs,1
STORY OF THE JEWEL-MERCHANT.,,,,,persian_edition_tocs,1
"STORY OF THE KING OF ABYSSINIA, SHOWING THE ARTIFICE OF WOMEN.",,,,,persian_edition_tocs,1
STORY OF THE KING OF PERSIA.,,,,,persian_edition_tocs,1
STORY OF THE KING OF YEMEN AND HIS SLAVE ABRAHA.,,,,,persian_edition_tocs,1
Susku And Mushu,,,,,persian_edition_tocs,1
Taling The Half-Boy,,,,,persian_edition_tocs,1
The Two Golden Brothers,,,,,persian_edition_tocs,1
The Wolf And The Goat,,,,,persian_edition_tocs,1
The Wolf-Aunt— A Moral For Husbands ^,,,,,persian_edition_tocs,1
The Wolf-Bride,,,,,persian_edition_tocs,1
