atu,topic,title,culture,author,origin_raw,source_page
361,Bearskin,Never-Wash,Russia,,Russia,type0361.html
425C,Beauty and the Beast,The Enchanted Tsarévich,Russia,,Russia,type0425c.html
850,The Birthmarks of the Princess,The Enchanted Lambs,Russia,,Russia,type0850.html
2025,The Runaway Pancake,The Devil in the Dough-Pan,Russia,,Russia,type2025.html
,German Changeling Legends,The Changeling of Cüstrinichen,"J. G. Th. Grässe, Legend Book of the Prussian State",,"J. G. Th. Grässe, Legend Book of the Prussian State",gerchange.html
,German Changeling Legends,The Underground People of Amrum,"J. G. Th. Grässe, Legend Book of the Prussian State",,"J. G. Th. Grässe, Legend Book of the Prussian State",gerchange.html
,German Changeling Legends,The Underground People at Lüttensee,"J. G. Th. Grässe, Legend Book of the Prussian State",,"J. G. Th. Grässe, Legend Book of the Prussian State",gerchange.html
366,A Corpse Claims Its Property,The Shroud,Russia,,Russia,type0366.html
1030,Crop Division between Man and Ogre,The Peasant and the Bear,Russia,,Russia,type1030.html
1176,Deceiving the Devil by Breaking Wind,The Square Knot,East Prussia,,East Prussia,type1176.html
1620,The Emperor's New Clothes,Fine Thread,Russia,,Russia,type1620.html
888,The Faithful Wife,The Tsaritsa Harpist,Russia,,Russia,type0888.html
888,The Faithful Wife,The Lute Player,Russia,,Russia,type0888.html
510B,The Father Who Wanted to Marry His Daughter,Kniaz Danila Govorila,Russia,,Russia,type0510b.html
555,The Fisherman and His Wife,"The Old Man, His Wife, and the Fish",Russia,,Russia,type0555.html
675,The Fool Whose Wishes All Came True,Emelyan the Fool,Russia,,Russia,type0675.html
47E,"The Fox, the Wolf, and the Horse",The Wolf and the Tailor,Russia,,Russia,type0047e.html
480,Frau Holle and Other Tales of Type 480,Morozko (Jack Frost),Russia,,Russia,type0480.html
480,Frau Holle and Other Tales of Type 480,The Twelve Months,Russia,,Russia,type0480.html
505,The Grateful Dead,Sila Tsarevich and Ivashka with the White Smock,Russia,,Russia,type0505.html
327,Hansel and Gretel,The Witch,Russia,,Russia,type0327.html
155,Ingratitude Is the World's Reward,The World's Reward,Russia,,Russia,type0155.html
,Magic Books,The Book of Magic,Russia,,Russia,magicbook.html
1592,The Iron-Eating Mice,The Two Merchants,"Russia, Leo Tolstoy",,"Russia, Leo Tolstoy",type1592.html
101,Old Dogs Learn New Tricks,"The Bear, the Dog, and the Cat",Russia,,Russia,type0101.html
980D,Old Parents and Their Ungrateful Children,The Origin of the Turtle,Russia,,Russia,type0980d.html
1540,A Visitor from Paradise,The Roguish Peasant,Russia,,Russia,type1540.html
7080,Plague Legends,The Plague,Russia,,Russia,type7080.html
570,The Rabbit Herd,The Magic Fife,Ukraine / Russia,,Ukraine / Russia,type0570.html
,Saint George Legends from Northern Europe,St. Yegóry the Brave,Russia,,Russia,stgeorge3.html
306,The Shoes That Were Danced to Pieces,The Midnight Dance,Russia,,Russia,type0306.html
,Snake and Serpent Husbands,The Water Snake,"Russia, A. A. Erlenvein",,"Russia, A. A. Erlenvein",snake.html
,Snake and Serpent Husbands,Transformation into a Nightingale and a Cuckoo,Russia,,Russia,snake.html
,Snake and Serpent Husbands,The Snake and the Princess,Russia,,Russia,snake.html
703,The Snow Maiden,The Snow Maiden,Russia,,Russia,type0703.html
325A,The Sorcerer's Apprentice,The Book of Magic,Russia,,Russia,type0325ast.html
,Trading Places,Little Mouse and Little Sausage,East Prussia,,East Prussia,tradingplaces.html
613,The Two Travelers: Truth and Falsehood,Honesty and Dishonesty,Russia,,Russia,type0613.html
,Water Spirit Legends 1,The Water Snake,Russia,,Russia,water.html
1365A,The Contrary Wife,Scissors or Knife?,Russia,,Russia,type1365abc.html
502,The Wild Man As Helper,The Tsarevich and Dyad'ka,Russia,,Russia,type0502.html
502,The Wild Man As Helper,Story of Bulat the Brave Companion,Russia,,Russia,type0502.html
,Golden Fowls,The Duck That Laid Golden Eggs,Russia,,Russia,goldfowl.html
402,Animal Brides,The Tsarevna Frog,Russia,,Russia,type0402.html
510A,Cinderella,The Wonderful Birch,Russia,,Russia,type0510a.html
510A,Cinderella,The Baba Yaga,Russia,Aleksandr Afanasyev,Russia (Aleksandr Afanasyev),type0510a.html
,Hog Bridegrooms,Prince Hedgehog,Russia,,Russia,hog.html
