title,atu,culture,author,source_page,sources,n_sources
Astrological Portents,7080,Italy / Spain / France,,type7080.html,catalogue_spanish_ashliman,1
Benibaire,130,Spain,,type0130.html,catalogue_spanish_ashliman,1
Blanca the Haughty,900,Spain,,type0900.html,catalogue_spanish_ashliman,1
Blancaflor,,Spanish,Traditional,,spanish_wiki,1
The Blue Lily,780,Spain,,type0780.html,catalogue_spanish_ashliman,1
Carlo Magno and the Giant,,Spanish,Busk,,spanish_wiki,1
The City of Fortune,,Spanish,Munoz Escamez,,spanish_wiki,1
Comical History of Three Dreamers,1626,Spain,,type1626.html,catalogue_spanish_ashliman,1
The Contrary Wife,1365A,Spain,,type1365abc.html,catalogue_spanish_ashliman,1
Cuentos populares españoles (3 vols),,Spanish,Espinosa,,spanish_wiki,1
Cuentos y poesias populares andaluzas,,Spanish (Andalusian),Fernán Caballero,,spanish_wiki,1
The Devil's Bridge in Martorell,1191,Catalonia,,type1191.html,catalogue_spanish_ashliman,1
El Conde Sol,,Spanish,Busk,,spanish_wiki,1
The Fable of the Flying Dutchman,777A,"Heinrich Heine, The Memoirs of Herr von Schnabelewopski, 1833 You certainly know the fable of the Flying Dutchman. It is the story of an enchanted ship which can never arrive in port, and which since time immemorial has been sailing about at sea. When it meets a vessel, some of the unearthly sailors come in a boat and beg the others to take a packet of letters home for them. These letters must be nailed to the mast, else some misfortune will happen to the ship -- above all if no Bible be on board, and no horseshoe nailed to the foremast. The letters are always addressed to people whom no one knows, and who have long been dead, so that some late descendant gets a letter addressed to a far away great-great-grandmother, who has slept for centuries in her grave. That wooden ghost, that spook-ship, is so called from the captain, a Dutchman, who once swore by all the devils that he would get round a certain mountain -- its name has escaped me -- in spite of a fearful storm, even if he would have to sail until Judgment Day. The devil took him at his word, therefore he must sail forever, until set free by a woman's loyalty. The devil, in his stupidity, has no faith in female loyalty, and allowed the enchanted captain to land once in seven years and get married, and thus find opportunities to save his soul. The poor Dutchman! He often has been only too glad to escape from his marriage and his wife-savior, and get on board again. The play which I saw in Amsterdam [in the year 1827] was based on this fable. Another seven years have passed; the poor Dutchman is more weary than ever of his endless wandering; he comes ashore, befriends a Scottish nobleman, to whom he sells diamonds at an unbelievably low price, and when he hears that his customer has a beautiful daughter, he asks for her hand in marriage. This bargain is agreed to as well. Next we see the Scotsman's home; with an anxious heart the maiden awaits the bridegroom. With melancholy she often looks up at a large, time-worn picture which hangs in the hall, and depicts a handsome man in Spanish-Dutch clothing. It is an old heirloom, and according to her grandmother, it is a true portrait of the Flying Dutchman as he was seen in Scotland a hundred years earlier, in the time of William of Orange. A warning connected to this portrait has been passed down as well: that the women of the family must beware of the person depicted in the painting. This warning has naturally enough had the result of deeply impressing the features of the dangerous man in the picture in the girl's mind, from her childhood onward. Therefore, when the authentic Flying Dutchman makes his appearance, she is startled, but not from fear. He too is moved when he sees the portrait. But when he is told who it represents, he tactfully turns aside all suspicion, makes fun of the superstition, and ridicules the Flying Dutchman, the Wandering Jew of the Ocean. Nevertheless, now in a melancholy mood, he relates how the gentleman must be suffering horribly out there on the endless waves, how his body is nothing other than a coffin of flesh in which is soul in imprisoned, how life and death alike reject him, like an empty cask scornfully cast ashore by the sea, then contemptuously again set adrift. He further muses that the poor Dutchman's agony must be as deep as the sea on which he sails -- cast between life and death, his ship without anchor, and his heart without hope. I believe that these were, more or less, the words with which the bridegroom ends. The bride looks at him earnestly, now and then casting glances at his portrait. It seems seems that she has guessed his secret; and when he afterwards asks, ""Katherine, will you be true to me?"" she answers with resolve, ""True to death."" ............ [Following the intermission] I returned to my seat in the theater just in time to see the play's last scene. The Flying Dutchman's wife is standing on a high cliff above the sea wringing her hands in despair, while her unhappy husband is seen on the deck of his unearthly ship, tossing on the waves. He loves her, and will leave her lest she be lost with him. He confesses to her his dreadful destiny, and the cruel curse which hangs above his head. She cries aloud, ""I was true to you to this hour, and I know how to be true unto death! Saying this she throws herself into the waves, and the enchantment is ended. The Flying Dutchman is redeemed, and we see the ghostly ship slowly sink into the depths of the sea. Source: The Memoirs of Herr von Schnabelewopski, ch. 7, The Works of Heinrich Heine, translated from the german by Charles Godfrey Leland (Hans Breitmann), vol. 1 (London: William Heinemann, 1903), pp. 130-36. Translation corrected and revised by D. L. Ashliman. © 2013. Link to the German-language original: Die Fabel von dem fliegenden Holländer. The play that Heine ostensibly saw in Amsterdam has not been identified. This short sketch by Heinrich Heine served as the impetus for Richard Wagner's opera Der fliegende Holländer (first performed in 1843). Return to the table of contents. The Flying Dutchman of the Tappan Sea Washington Irving",,type0777ast.html,catalogue_spanish_ashliman,1
The Fairy Friar,7015,Spain,,type7015.html,catalogue_spanish_ashliman,1
The Guardian Spirits,501,Spain,,type0501.html,catalogue_spanish_ashliman,1
The Hand of Glory,,"France, Germany, and Spain",,hand.html,catalogue_spanish_ashliman,1
The Hunchback,900,Spain,,type0900.html,catalogue_spanish_ashliman,1
The Ingenious Student,,Spanish,Sellers/Eells,,spanish_wiki,1
The Invisible Cloth,1620,Spain,,type1620.html,catalogue_spanish_ashliman,1
Juan Bobo,,Spanish (Caribbean),Traditional,,spanish_wiki,1
Juan Holgado and Death,332,Spain,,type0332.html,catalogue_spanish_ashliman,1
Juan Soldado,,Spanish (folk),Traditional,,spanish_wiki,1
Khing-Chu-Fu,,Spanish,Munoz Escamez,,spanish_wiki,1
King Robin,175,Spain/Portugal,,type0175.html,catalogue_spanish_ashliman,1
La Llorona,,Spanish,Traditional,,spanish_wiki,1
Las Mil y Una Noches española,,Spanish,Various,,spanish_wiki,1
Simple Johnny and the Spell-bound Princesses,,Spanish,Busk,,spanish_wiki,1
Spanish folk tales Espinosa collection,,Spanish,Aurelio Espinosa,,spanish_wiki,1
The Treasure of the Dragon,,Spanish,Munoz Escamez,,spanish_wiki,1
What Happened to a Woman Called Truhana,1430,"Spain, Prince Don Juan Manuel",,type1430.html,catalogue_spanish_ashliman,1
What Happened to a Young Man on His Wedding Day,901,Spain,,type0901.html,catalogue_spanish_ashliman,1
The White Cat of Ecija,,Spanish,Sellers/Eells,,spanish_wiki,1
The Wolf-Child,,Spanish,Sellers/Eells,,spanish_wiki,1
