atu,topic,title,culture,author,origin_raw,source_page
,Abducted by Aliens,Ned the Jockey,Wales,,Wales,abduct.html
,Abducted by Aliens,The Old Man and the Fairies,Wales,,Wales,abduct.html
,Abducted by Aliens,A Visit to Fairyland,Wales,,Wales,abduct.html
361,Bearskin,The King's Tabernacle,Wales,,Wales,type0361.html
,The Origin of Underground People,The Tylwyth Teg,Wales,,Wales,originunder.html
,The Origin of Underground People,The Origin of Fairies,Wales,,Wales,originunder.html
,The Origin of Underground People,The Baby Farmer,Wales,,Wales,originunder.html
592,Dancing in Thorns,The Golden Harp,Wales,,Wales,type0592.html
1157,The Devil (or Ogre) and the Gun,The Origin of the Jack-o'-Lantern,Wales,,Wales,type1157.html
1191,The Devil's Bridge,The Devil's Bridge in Cardiganshire,Wales,,Wales,type1191.html
1191,The Devil's Bridge,The Devil's Bridge,Wales,,Wales,type1191.html
737,Divination,"Rhamanta, or Romantic Divination",Wales,,Wales,type0737.html
1641,Doctor Know-All,Black Robin,Wales,,Wales,type1641.html
,British Dragons,The Red Dragon of Wales,Wales,,Wales,britishdragons.html
,British Dragons,The Story of Lludd and Llevelys,Wales,,Wales,britishdragons.html
,British Dragons,The Radnorshire Dragon,Wales,,Wales,britishdragons.html
6010,A Captured Fairy,A Woman Caught a Fairy,Wales,,Wales,type6010.html
,Fairy Theft,"A ""Verry Volk"" Feast",Wales,and Brittany,Wales (and Brittany),fairytheft.html
,Faust Legends,Dafydd Hiraddug and the Crow Barn,Wales,,Wales,faust.html
777A,The Flying Dutchman,The Story of the Flying Dutchman,A Voyage to New South Wales,1795,A Voyage to New South Wales (1795),type0777ast.html
4080,The Mermaid Wife,Touched by Iron,Wales,,Wales,type4080.html
782,Midas,March's Ears (1),Wales,,Wales,type0782.html
782,Midas,March's Ears (2),Wales,,Wales,type0782.html
,"Midwife (or Godparent, or Nurse) for the Elves",The Midwife of Hafoddydd,Wales,,Wales,midwife.html
500,The Name of the Helper,Gwarwyn-a-throt,Wales,,Wales,type0500.html
500,The Name of the Helper,Penelop,Wales,,Wales,type0500.html
500,The Name of the Helper,Silly go Dwt,Wales,,Wales,type0500.html
7080,Plague Legends,The Monster Fed Felen,Wales,,Wales,type7080.html
955,The Robber Bridegroom,Laula,Wales,,Wales,type0955.html
,Sleeping Hero Legends,The Sleeping Warriors,England/Wales,,England/Wales,sleep.html
,Sleeping Hero Legends,Sleeping Warriors,Wales,,Wales,sleep.html
,Sleeping Hero Legends,The Cave of the Young Men of Snowdonia,Wales,,Wales,sleep.html
,Stone Monument Legends,The Gnoll Fairy Stone,Wales,,Wales,monuments.html
650A,The Strong Boy,Strong Jack,Wales,Romani,Wales (Romani),type0650a.html
5075,Underground People Disturbed by Farm or Household Waste,Why Deunant Has the Front Door in the Back,Wales,,Wales,type5075.html
5075,Underground People Disturbed by Farm or Household Waste,Why the Back Door Was Front,Wales,,Wales,type5075.html
4050,Water Spirit Legends 2 The Hour Is Come but the Man Is Not,The Hour Is Come but the Man Is Not,Wales,,Wales,type4050.html
4050,Water Spirit Legends 2 The Hour Is Come but the Man Is Not,The Man with the Green Weeds,Wales,,Wales,type4050.html
,Will-o'-the-Wisp Jack-o'-Lantern,Lantern Jack,Wales,,Wales,willowisp.html
,Will-o'-the-Wisp Jack-o'-Lantern,The Ellylldan,Wales,,Wales,willowisp.html
,Will-o'-the-Wisp Jack-o'-Lantern,The Origin of the Jack-o'-Lantern,Wales,,Wales,willowisp.html
3055,The Witch That Was Hurt,The Shot Hare,Wales,,Wales,type3055.html
3055,The Witch That Was Hurt,The Two Cat Witches,Wales,,Wales,type3055.html
178A,Llewellyn and His Dog Gellert,Beth Gellert,Wales,,Wales,type0178a.html
178A,Llewellyn and His Dog Gellert,The Dog Gellert,Wales,,Wales,type0178a.html
