atu,topic,title,culture,author,origin_raw,source_page
,Abducted by Aliens,The Recovered Bride,Ireland,,Ireland,abduct.html
,Abducted by Aliens,Taken by the Good People,Ireland,,Ireland,abduct.html
,Abducted by Aliens,Twenty Years with the Good People,Ireland,,Ireland,abduct.html
,Abducted by Aliens,Jamie Freel and the Young Lady: A Donegal Tale,Ireland,,Ireland,abduct.html
,Abducted by Aliens,Kidnappers,Ireland,,Ireland,abduct.html
,Abducted by Aliens,Footnote,,,,abduct.html
,Abducted by Aliens,Ethna the Bride,Ireland,,Ireland,abduct.html
,Abducted by Aliens,Ned the Jockey,Wales,,Wales,abduct.html
,Abducted by Aliens,The Old Man and the Fairies,Wales,,Wales,abduct.html
,Abducted by Aliens,A Visit to Fairyland,Wales,,Wales,abduct.html
,Abducted by Aliens,Four Years in Faery,Isle of Man,,Isle of Man,abduct.html
,Abducted by Aliens,The Lost Wife of Ballaleece,Isle of Man,,Isle of Man,abduct.html
,Abducted by Aliens,On Fairies,England,,England,abduct.html
,Abducted by Aliens,The Lost Child,England,,England,abduct.html
,Abducted by Aliens,Thomas of Erceldoune,Scotland,,Scotland,abduct.html
,Abducted by Aliens,Tamlane,Scotland,,Scotland,abduct.html
,Abducted by Aliens,The Fairies' Hill,Scotland,,Scotland,abduct.html
,Abducted by Aliens,The Stolen Lady,Scotland,,Scotland,abduct.html
,Abducted by Aliens,Touching the Elements,Shetland Islands,,Shetland Islands,abduct.html
,Abducted by Aliens,The Aged Bride,Denmark,,Denmark,abduct.html
,Abducted by Aliens,The Troll in Mæhred,Denmark,,Denmark,abduct.html
,Abducted by Aliens,The Sea Nymph,Sweden,Gotland,Sweden (Gotland),abduct.html
910B,Advice Well Taken,The Three Advices,Ireland,,Ireland,type0910b.html
910B,Advice Well Taken,The Three Advices Which the King with the Red Soles Gave to His Son,Ireland,,Ireland,type0910b.html
910B,Advice Well Taken,The Highlander Takes Three Advices from the English Farmer,Scotland,,Scotland,type0910b.html
910B,Advice Well Taken,The Three Admonitions,Italy,,Italy,type0910b.html
910B,Advice Well Taken,The Prince Who Acquired Wisdom,India,,India,type0910b.html
910B,Advice Well Taken,Three Pieces of Advice,Jamaica,,Jamaica,type0910b.html
,Aesop's Children,The Crab and His Mother,,,,aesopskids.html
,Aesop's Children,The Farmer and His Sons,,,,aesopskids.html
,Aesop's Children,Jupiter and the Monkey,,,,aesopskids.html
,Aesop's Children,Father and Sons,,,,aesopskids.html
,Aesop's Children,The Boy Bathing,,,,aesopskids.html
,Aesop's Children,The Boy and the Nettles,,,,aesopskids.html
,Aesop's Children,The Boy and the Filberts,,,,aesopskids.html
,Aesop's Children,The Fawn and His Mother,,,,aesopskids.html
,Aesop's Children,The Ox and the Frog,,,,aesopskids.html
,Aesop's Children,"The Wolf, the Mother, and Her Child",,,,aesopskids.html
,Aesop's Children,The Lioness and the Vixen,,,,aesopskids.html
,Aesop's Children,"The Miller, His Son, and Their Ass",,,,aesopskids.html
,Aesop's Children,Brother and Sister,,,,aesopskids.html
,Aesop's Children,The Bull and the Calf,,,,aesopskids.html
,Aesop's Children,The Father and His Daughters,,,,aesopskids.html
,Old Folks in Aesop's Fables,The Mischievous Dog,,,,aesopold.html
,Old Folks in Aesop's Fables,The Mice in Council,,,,aesopold.html
,Old Folks in Aesop's Fables,The Old Woman and the Doctor,,,,aesopold.html
,Old Folks in Aesop's Fables,The Crab and His Mother,,,,aesopold.html
,Old Folks in Aesop's Fables,The Old Lion,,,,aesopold.html
,Old Folks in Aesop's Fables,The Peasant and the Apple Tree,,,,aesopold.html
,Old Folks in Aesop's Fables,The Mice and the Weasels,,,,aesopold.html
,Old Folks in Aesop's Fables,The Ass and the Old Peasant,,,,aesopold.html
,Old Folks in Aesop's Fables,The Old Woman and the Wine Jar,,,,aesopold.html
,Old Folks in Aesop's Fables,The Oxen and the Butchers,,,,aesopold.html
,Old Folks in Aesop's Fables,The Old Hound,,,,aesopold.html
,Old Folks in Aesop's Fables,The Charger and the Miller,,,,aesopold.html
,Old Folks in Aesop's Fables,The Man and His Two Mistresses,,,,aesopold.html
,Old Folks in Aesop's Fables,"The Miller, His Son, and Their Ass",,,,aesopold.html
,Old Folks in Aesop's Fables,"The Man, the Horse, the Ox, and the Dog",,,,aesopold.html
,Old Folks in Aesop's Fables,"The Wolves, the Sheep, and the Ram",,,,aesopold.html
,Old Folks in Aesop's Fables,The Swan,,,,aesopold.html
,Old Folks in Aesop's Fables,The Old Man and Death,,,,aesopold.html
,Old Folks in Aesop's Fables,The Sick Lion,,,,aesopold.html
,Old Folks in Aesop's Fables,The Bundle of Sticks,,,,aesopold.html
,Old Folks in Aesop's Fables,The Cat and the Mice,,,,aesopold.html
,Old Folks in Aesop's Fables,The Bald Knight,,,,aesopold.html
,Old Folks in Aesop's Fables,Death and Cupid,,,,aesopold.html
,Old Folks in Aesop's Fables,The Hunted Beaver,,,,aesopold.html
,Old Folks in Aesop's Fables,The Farmer and His Sons,,,,aesopold.html
,Old Folks in Aesop's Fables,The Sick Stag,,,,aesopold.html
,Old Folks in Aesop's Fables,The Two Rats,,,,aesopold.html
,Old Folks in Aesop's Fables,"The Old Trout, the Young Trout, and the Salmon",,,,aesopold.html
,Aging and Death in Folklore,Aging: realism and resignation expressed in proverbs,,,,aging.html
,Aging and Death in Folklore,Distrust of old people in folklore,,,,aging.html
,Aging and Death in Folklore,Widowhood,,,,aging.html
,Aging and Death in Folklore,Caring for old people,Resignation,,Resignation,aging.html
,Aging and Death in Folklore,Euthanasia and geronticide,Europe,,Europe,aging.html
,Aging and Death in Folklore,Other primitive cultures,,,,aging.html
,Aging and Death in Folklore,Sacrificing one's grandmother,,,,aging.html
,Aging and Death in Folklore,The old woman in the chest,,,,aging.html
,Aging and Death in Folklore,Disposing of the corpse: a legend that is still alive,,,,aging.html
,Aging and Death in Folklore,Why old people are no longer put to death,,,,aging.html
,Aging and Death in Folklore,Gaining care by trickery,Old animals trick their masters,,Old animals trick their masters,aging.html
,Aging and Death in Folklore,The old father's pretended treasure,,,,aging.html
,Aging and Death in Folklore,Grandchildren come to their grandparents' aid,,,,aging.html
,Aging and Death in Folklore,When enlightened self interest fails,,,,aging.html
,Aging and Death in Folklore,The inevitability of senility and death,,,,aging.html
,Aging and Death in Folklore,Stages of life,,,,aging.html
,Aging and Death in Folklore,No one wants to die,,,,aging.html
,Aging and Death in Folklore,Death's approach should surprise no one,,,,aging.html
,Aging and Death in Folklore,Attempts to trick death,,,,aging.html
,Aging and Death in Folklore,Death trivialized,The death of the little hen,,The death of the little hen,aging.html
,Aging and Death in Folklore,An animal mourns the death of a spouse,,,,aging.html
,Aging and Death in Folklore,The fleeing pancake,,,,aging.html
,Aging and Death in Folklore,The day the sky fell in,,,,aging.html
,Aging and Death in Folklore,Death as punishment,"Bogeys, hobgoblins, and bugbears",,"Bogeys, hobgoblins, and bugbears",aging.html
,Aging and Death in Folklore,Excessive grief,,,,aging.html
