collection,author,language,culture,source
aesop_fables_en,Aesop (trans. George Fyler Townsend),en,Classical (Aesop),"Gutenberg #28 — Aesop's Fables (Townsend trans., 1887)"
arabian_nights_en,Kate Douglas Wiggin & Nora Smith (eds.),en,Arabian,"Gutenberg #20916 — The Arabian Nights: Their Best-Known Tales (Wiggin/Smith eds., 1909)"
armenian_seklemian_en,A. G. Seklemian,en,Armenian,"Gutenberg #46944 — The Golden Maiden and Other Folk Tales Told in Armenia (Seklemian, 1898)"
basque_webster_en,Wentworth Webster,en,Basque,"Gutenberg #34902 — Basque Legends (Webster, 1877)"
belgian_griffis_en,William Elliot Griffis,en,Belgian/Flemish,"Gutenberg #67256 — Belgian Fairy Tales (Griffis, 1919)"
burmese_pagoda_en,Mrs. A. M. B. Irwin (Told on the Pagoda),en,Burmese,Gutenberg #36171 — Told on the Pagoda: Tales of Burmah (1895)
ceylon_parker_v1_en,Henry Parker,en,Sinhalese (Ceylon),"Gutenberg #56614 — Village Folk-Tales of Ceylon, Vol. 1 (Parker, 1910-14)"
ceylon_parker_v2_en,Henry Parker,en,Sinhalese (Ceylon),"Gutenberg #57399 — Village Folk-Tales of Ceylon, Vol. 2 (Parker, 1910-14)"
ceylon_parker_v3_en,Henry Parker,en,Sinhalese (Ceylon),"Gutenberg #58889 — Village Folk-Tales of Ceylon, Vol. 3 (Parker, 1910-14)"
cherokee_mooney_en,James Mooney (Bureau of American Ethnology),en,Cherokee (North America),"Gutenberg #45634 — Myths of the Cherokee, 19th Annual Report BAE (Mooney, 1900)"
chinese_wilhelm_en,Richard Wilhelm (trans. Frederick Martens),en,Chinese,"Gutenberg #29939 — The Chinese Fairy Book (Wilhelm, 1921)"
cossack_bain_en,R. Nisbet Bain,en,Russian/Ukrainian,"Gutenberg #29672 — Cossack Fairy Tales and Folk Tales (Bain, 1894)"
dutch_griffis_en,William Elliot Griffis,en,Dutch,"Gutenberg #7871 — Dutch Fairy Tales for Young Folks (Griffis, 1918)"
english_jacobs_en,auto,en,auto,Gutenberg #7439 — English Fairy Tales (Jacobs 1890)
english_jacobs_more_en,auto,en,auto,Gutenberg #14241 — More English Fairy Tales (Jacobs 1894)
finnish_eivind_en,R. Eivind (Kalevala adaptation),en,Finnish,"Gutenberg #24948 — Finnish Legends for English Children (Eivind, c1893)"
flemish_coster_en,"Charles de Coster (trans. Harold Taylor, 1920)",en,Belgian/Flemish,"Gutenberg #37668 — Flemish Legends (de Coster, trans. 1920)"
french_cosquin_fr,Emmanuel Cosquin,fr,French,"Gutenberg #57892 — Contes populaires de Lorraine (Cosquin, 1886)"
french_daulnoy_en,Madame d'Aulnoy (trans. Macdonell & Lee),en,French,"archive.org fairytalesmadam00dgoog — The Fairy Tales of Madame d'Aulnoy (Lawrence & Bullen, 1892)"
