collection,file,title,author,year,source_type,fidelity,word_count
friedlander_en,001_king-solomon-and-the-worm.html,KING SOLOMON AND THE WORM,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,2889
friedlander_en,002_falsehood-and-wickedness.html,FALSEHOOD AND WICKEDNESS,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,744
friedlander_en,003_the-wicked-king-and-his-bride.html,THE WICKED KING AND HIS BRIDE,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,3569
friedlander_en,004_the-two-jewels.html,THE TWO JEWELS,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,1598
friedlander_en,005_the-beggar-at-the-wedding.html,THE BEGGAR AT THE WEDDING,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,3253
friedlander_en,006_the-clever-wife.html,THE CLEVER WIFE,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,1182
friedlander_en,007_the-coins-of-elijah.html,THE COINS OF ELIJAH,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,1459
friedlander_en,008_the-fox-and-the-raven.html,THE FOX AND THE RAVEN,Gerald Friedlander,1918,Talmud/Midrash retelling,clean,376
ginzberg_legends_en,001_the-first-things-created.html,THE FIRST THINGS CREATED,Louis Ginzberg,1909,Aggadah / biblical legend,clean,753
ginzberg_legends_en,002_the-alphabet.html,THE ALPHABET,Louis Ginzberg,1909,Aggadah / biblical legend,clean,842
ginzberg_legends_en,003_the-first-day.html,THE FIRST DAY,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1443
ginzberg_legends_en,004_the-second-day.html,THE SECOND DAY,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1437
ginzberg_legends_en,005_the-third-day.html,THE THIRD DAY,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1645
ginzberg_legends_en,006_the-fourth-day.html,THE FOURTH DAY,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1007
ginzberg_legends_en,007_the-fifth-day.html,THE FIFTH DAY,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1001
ginzberg_legends_en,008_the-sixth-day.html,THE SIXTH DAY,Louis Ginzberg,1909,Aggadah / biblical legend,clean,3987
ginzberg_legends_en,009_all-things-praise-the-lord.html,ALL THINGS PRAISE THE LORD,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1171
ginzberg_legends_en,010_man-and-the-world.html,MAN AND THE WORLD,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1071
ginzberg_legends_en,011_the-angels-and-the-creation-of-man.html,THE ANGELS AND THE CREATION OF MAN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,561
ginzberg_legends_en,012_the-creation-of-adam.html,THE CREATION OF ADAM,Louis Ginzberg,1909,Aggadah / biblical legend,clean,381
ginzberg_legends_en,013_the-soul-of-man.html,THE SOUL OF MAN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1094
ginzberg_legends_en,014_the-ideal-man.html,THE IDEAL MAN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,937
ginzberg_legends_en,015_the-fall-of-satan.html,THE FALL OF SATAN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,539
ginzberg_legends_en,016_woman.html,WOMAN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1487
ginzberg_legends_en,017_adam-and-eve-in-paradise.html,ADAM AND EVE IN PARADISE,Louis Ginzberg,1909,Aggadah / biblical legend,clean,732
ginzberg_legends_en,018_the-fall-of-man.html,THE FALL OF MAN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1184
ginzberg_legends_en,019_the-punishment.html,THE PUNISHMENT,Louis Ginzberg,1909,Aggadah / biblical legend,clean,2472
ginzberg_legends_en,020_sabbath-in-heaven.html,SABBATH IN HEAVEN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1013
ginzberg_legends_en,021_adams-repentance.html,ADAM'S REPENTANCE,Louis Ginzberg,1909,Aggadah / biblical legend,clean,975
ginzberg_legends_en,022_the-book-of-raziel.html,THE BOOK OF RAZIEL,Louis Ginzberg,1909,Aggadah / biblical legend,clean,977
ginzberg_legends_en,023_the-sickness-of-adam.html,THE SICKNESS OF ADAM,Louis Ginzberg,1909,Aggadah / biblical legend,clean,541
ginzberg_legends_en,024_eves-story-of-the-fall.html,EVE'S STORY OF THE FALL,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1246
ginzberg_legends_en,025_the-death-of-adam.html,THE DEATH OF ADAM,Louis Ginzberg,1909,Aggadah / biblical legend,clean,763
ginzberg_legends_en,026_the-death-of-eve.html,THE DEATH OF EVE,Louis Ginzberg,1909,Aggadah / biblical legend,clean,462
ginzberg_legends_en,027_the-birth-of-cain.html,THE BIRTH OF CAIN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,551
ginzberg_legends_en,028_fratricide.html,FRATRICIDE,Louis Ginzberg,1909,Aggadah / biblical legend,clean,819
ginzberg_legends_en,029_the-punishment-of-cain.html,THE PUNISHMENT OF CAIN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,1109
ginzberg_legends_en,030_the-inhabitants-of-the-seven-earths.html,THE INHABITANTS OF THE SEVEN EARTHS,Louis Ginzberg,1909,Aggadah / biblical legend,clean,600
ginzberg_legends_en,031_the-descendants-of-cain.html,THE DESCENDANTS OF CAIN,Louis Ginzberg,1909,Aggadah / biblical legend,clean,766
ginzberg_legends_en,032_the-descendants-of-adam-and-lilith.html,THE DESCENDANTS OF ADAM AND LILITH,Louis Ginzberg,1909,Aggadah / biblical legend,clean,833
ginzberg_legends_en,033_seth-and-his-descendants.html,SETH AND HIS DESCENDANTS,Louis Ginzberg,1909,Aggadah / biblical legend,clean,404
ginzberg_legends_en,034_enosh.html,ENOSH,Louis Ginzberg,1909,Aggadah / biblical legend,clean,591
