match_field,match_value,atu,note
khm,1,440,KHM 1
khm,3,710,KHM 3
khm,5,123,KHM 5
khm,11,450,KHM 11
khm,12,310,KHM 12
khm,15,327A,KHM 15
khm,19,555,KHM 19
khm,21,510A,KHM 21
khm,26,333,KHM 26
khm,27,130,KHM 27
khm,28,780,KHM 28
khm,36,563,KHM 36
khm,37,700,KHM 37
khm,46,311,KHM 46
khm,47,720,KHM 47
khm,50,410,KHM 50
khm,53,709,KHM 53
khm,55,500,KHM 55
khm,65,510B,KHM 65
khm,130,511,KHM 130
khm,161,426,KHM 161
title,THE TINDER-BOX,562,Andersen literary reworking of a folk type
title,Огниво,562,Andersen literary reworking of a folk type
title,THE WILD SWANS,451,Andersen literary reworking of a folk type
title,Дикие лебеди,451,Andersen literary reworking of a folk type
title,THE TRAVELLING COMPANION,507A,Andersen literary reworking of a folk type
title,Дорожный товарищ,507A,Andersen literary reworking of a folk type
title,LITTLE CLAUS AND BIG CLAUS,1535,Andersen literary reworking of a folk type
title,Маленький Клаус и большой Клаус,1535,Andersen literary reworking of a folk type
title,THE SWINEHERD,900,Andersen literary reworking of a folk type
title,Свинопас,900,Andersen literary reworking of a folk type
